winner,rounds,loser
Sakonoko,2-0,Infexious
LLL Emersion,2-0,UM Imstilldadaddy
Dieminion,2-0,Lior
Ryan Hart,2-0,Perplex
Pongko,2-0,MBR
Ninja Shackz,2-0,Fuhajin
Xiao Hai,2-0,Taunt
F-Word,2-0,Cuongster
Infiltration,2-0,[M] LordDVD
Rize | Pro Fluke IND,2-0,Will2pac
Valmaster,2-0,Akainu
Problem X,2-0,Starnab
Jehosan,2-0,Luffy
BX3.Phenom,2-0,ButterBeef Bison
Tonpy,2-0,Madjestik
TKR,2-0,Renegad
Pongko,2-0,Ninja Shackz
MBR,2-0,Fuhajin
Akainu,2-1,Starnab
Renegad,2-0,Madjestik
Sakonoko,2-0,LLL Emersion
ButterBeef Bison,2-1,Luffy
Will2pac,2-0,[M] LordDVD
UM Imstilldadaddy,2-1,Infexious
Perplex,2-0,Lior
Infiltration,2-0,Rize | Pro Fluke IND
Tonpy,2-0,TKR
Taunt,2-0,Cuongster
Ninja Shackz,2-0,Akainu
Jehosan,2-0,BX3.Phenom
Ryan Hart,2-0,Dieminion
Renegad,2-0,LLL Emersion
Problem X,2-0,Valmaster
UM Imstilldadaddy,2-0,TKR
BX3.Phenom,2-0,Perplex
Dieminion,2-0,ButterBeef Bison
Valmaster,2-0,MBR
Jehosan,2-1,Tonpy
UM Imstilldadaddy,2-0,BX3.Phenom
Rize | Pro Fluke IND,2-0,Taunt
Xiao Hai,2-0,F-Word
Dieminion,2-0,Renegad
Valmaster,2-0,Rize | Pro Fluke IND
F-Word,2-0,Will2pac
Pongko,2-1,Xiao Hai
Ninja Shackz,2-0,F-Word
Sakonoko,2-0,Ryan Hart
Tonpy,2-0,Ninja Shackz
Valmaster,2-0,Ryan Hart
Infiltration,2-0,Problem X
Dieminion,2-0,Problem X
Xiao Hai,2-0,UM Imstilldadaddy
Pongko,2-1,Sakonoko
Infiltration,2-0,Jehosan
Valmaster,2-0,Xiao Hai
Tonpy,2-1,Dieminion
Jehosan,2-1,Valmaster
Sakonoko,2-1,Tonpy
Sakonoko,2-0,Jehosan
Pongko,3-1,Infiltration
Sakonoko,3-0,Infiltration
Pongko,3-0,Sakonoko
