winner,rounds,loser
Dian,1-0,Aldy
Dark Jiewa,1-0,Susubabi
GL Saunic,1-0,KenMike
Cameraman,1-0,AHo
Cody,1-0,Saman
Chuan,1-0,UNGGUL
CCG Humanbomb,1-0,ARDI
XiaoLong,1-0,Dion
Dark Jiewa,2-0,Dian
GL Saunic,2-0,Cameraman
Chuan,2-1,Cody
CCG Humanbomb,2-1,XiaoLong
Susubabi,2-0,Aldy
AHo,2-1,KenMike
ARDI,2-1,Dion
Saman,2-0,UNGGUL
XiaoLong,2-0,Susubabi
Cody,2-0,AHo
Saman,2-1,Cameraman
Dark Jiewa,3-0,GL Saunic
Dian,2-0,ARDI
CCG Humanbomb,3-1,Chuan
XiaoLong,3-2,Cody
Saman,3-2,Dian
XiaoLong,3-1,GL Saunic
Chuan,3-0,Saman
Dark Jiewa,3-0,CCG Humanbomb
Chuan,3-1,XiaoLong
CCG Humanbomb,3-1,Chuan
Dark Jiewa,3-1,CCG Humanbomb
