winner,rounds,loser
水 Mizu,2-0,ジュリカス Jurikasu
かわぐち,2-0,コーヒー乳牛 Coffee Gyuunyuu
サエ,2-0,のび太
たんげ Tange,2-0,霧雨 Kirisame
くりぱぱ Kuripapa,2-0,髭とボイン Hige to Boin
R/kappa poongko,2-0,ホルト Horuto
G.Y.R.O,2-0,おこめマン Okome Man
だんひる,2-0,よしかずさん。Yoshikazu san
かわぐち,2-0,サエ
たんげ Tange,2-0,くりぱぱ Kuripapa
だんひる,2-1,水 Mizu
かわぐち,2-0,だんひる
R/kappa poongko,2-0,G.Y.R.O
R/kappa poongko,2-0,たんげ Tange
R/kappa poongko,2-0,かわぐち
よしかずさん。Yoshikazu san,2-0,ジュリカス Jurikasu
G.Y.R.O,2-0,よしかずさん。Yoshikazu san
コーヒー乳牛 Coffee Gyuunyuu,2-0,のび太
コーヒー乳牛 Coffee Gyuunyuu,2-0,くりぱぱ Kuripapa
コーヒー乳牛 Coffee Gyuunyuu,2-0,G.Y.R.O
おこめマン Okome Man,2-0,ホルト Horuto
霧雨 Kirisame,2-0,髭とボイン Hige to Boin
サエ,2-0,霧雨 Kirisame
おこめマン Okome Man,2-0,水 Mizu
おこめマン Okome Man,2-0,サエ
だんひる,2-0,コーヒー乳牛 Coffee Gyuunyuu
たんげ Tange,2-0,おこめマン Okome Man
たんげ Tange,2-0,だんひる
かわぐち,2-0,たんげ Tange
inco,2-0,かいひも
ぬ。Nu,2-0,R.Mitake
inco,2-0,ぬ。Nu
KOK,2-0,相楽じあじい Souraku Jiaji
ミゾテル Mizoteru,2-0,ニア
めろんそーだ Meronn Soda,2-0,ナックル Nakkuru
りゅうきち,2-0,ほるもん
２４７,2-0,これ!どれ?アレ!ん Kore!Dore? Are! N
KOK,2-0,２４７
ミゾテル Mizoteru,2-0,めろんそーだ Meronn Soda
豆腐 Tofu,2-0,チキチキン
りゅうきち,2-0,豆腐 Tofu
inco,2-0,KOK
ミゾテル Mizoteru,2-0,りゅうきち
かいひも,2-0,R.Mitake
相楽じあじい Souraku Jiaji,2-0,これ!どれ?アレ!ん Kore!Dore? Are! N
ナックル Nakkuru,2-0,ニア
ほるもん,2-0,チキチキン
ほるもん,2-0,ぬ。Nu
ナックル Nakkuru,2-0,２４７
相楽じあじい Souraku Jiaji,2-0,めろんそーだ Meronn Soda
豆腐 Tofu,2-0,かいひも
相楽じあじい Souraku Jiaji,2-0,豆腐 Tofu
ほるもん,2-0,ナックル Nakkuru
りゅうきち,2-0,ほるもん
KOK,2-0,相楽じあじい Souraku Jiaji
inco,2-0,ミゾテル Mizoteru
りゅうきち,2-0,KOK
ミゾテル Mizoteru,2-0,りゅうきち
大分人,2-0,えにてょ
大分人,2-0,Bigdamaul
FGC pepeday,2-0,DMひでぶ～
べにふーき,2-0,キッド
