winner,rounds,loser
MCZ|Mago,2-0,Damdai
MOM|Velociraptor,2-0,CoinUp|Ludovic
EMP|Hiro,2-1,MCZ|Mago
PIE|Smug,2-1,Brentt
GS|Gllty,2-0,Julio
CCG|Air,2-0,Ace Unlimited
Filipino Champ,2-1,Ace Unlimited
MCZ|Mago,2-0,Damdai
MOM|Velociraptor,2-1,Driftwood
Brentt,2-0,RM|SaltFace
MCZ|Tokido,2-0,BJ Unchained
BJ Unchained,2-0,Pokchop
Tampa Bison,2-0,pH|LPN
Luken,2-0,Flash Metroid
pH|LPN,2-0,PxG|Integra
YG|Joel,2-1,GG|Onisan
Filipinoman,2-0,Min
CCG|Chris Tatarian,2-0,Qanba|Xiao Hai
EG|PR Balrog,2-0,Hzy
RZR|Fuudo,2-0,Tempo|NYChrisG
Qanba|Xiao Hai,2-0,TSC|IFC Yipes
Kreymore,2-0,Ranmasama
Kelvin Jeon,2-0,/r/Kappa|Kazunoko
DL|FourWude,2-1,MOR|Rico Suave
TSC|Dieminion,2-0,Kelvin Jeon
/r/Kappa|Kazunoko,2-0,Kelvin Jeon
EG|Momochi,2-1,MOM|Velociraptor
RZR|Itabashi Zangief,2-1,PIE|Smug
RZR|Xian,2-0,MCZ|Tokido
TS|Arturo Sanchez,2-1,Snake Eyez
Qanba|Dakou,2-0,EG|Justin Wong
/r/Kappa|Kazunoko,2-1,MOM|Velociraptor
RZR|Fuudo,2-0,CCG|Chris Tatarian
MCZ|Daigo,2-1,EG|PR Balrog
Filipinoman,,AvM|GamerBee
Bonchan,2-1,UM|ImStillDaDaddy
Tampa Bison,2-0,/r/Kappa|Infiltration
EG|K-Brad,,CCG|Air
Qanba|Xiao Hai,,Tempo|NYChrisG
Qanba|Xiao Hai,,EG|Justin Wong
EG|Ricky Ortiz,2-0,Lingo
EG|Momochi,2-0,EG|K-Brad
Qanba|Xiao Hai,,MCZ|Tokido
/r/Kappa|Infiltration,,AvM|GamerBee
EMP|Hiro,2-1,RZR|Itabashi Zangief
DaFeetLee,,EG|PR Balrog
RZR|Fuudo,2-1,MCZ|Daigo
Bonchan,2-0,Liquid|NuckleDu
Snake Eyez,2-1,EG|K-Brad
TSC|Dieminion,,EG|Ricky Ortiz
MCZ|Daigo,2-1,PIE|Smug
TS|Arturo Sanchez,2-1,TSC|Sanford Kelly
Liquid|NuckleDu,,Qanba|Xiao Hai
EG|Ricky Ortiz,,/r/Kappa|Infiltration
RZR|Xian,,Qanba|Dakou
MCZ|Mago,2-0,Qanba|Dakou
CCG|Chris Tatarian,,RZR|Itabashi Zangief
Kazunoko,,TSC|Sanford Kelly
EG|Momochi,2-1,EMP|Hiro
RZR|Xian,2-0,Filipinoman
Snake Eyez,,CCG|Chris Tatarian
TSC|Dieminion,2-1,Bonchan
RZR|Fuudo,2-1,TS|Arturo Sanchez
Tampa Bison,2-1,MCZ|Mago
EMP|Hiro,2-0,EG|Ricky Ortiz
Snake Eyez,2-1,Bonchan
/r/Kappa|Kazunoko,2-0,MCZ|Daigo
TS|Arturo Sanchez,2-1,Tampa Bison
/r/Kappa|Kazunoko,2-0,Filipinoman
TS|Arturo Sanchez,3-0,Snake Eyez
/r/Kappa|Kazunoko,3-1,EMP|Hiro
RZR|Xian,3-0,EG|Momochi
RZR|Fuudo,3-0,TSC|Dieminion
EG|Momochi,3-1,TS|Arturo Sanchez
/r/Kappa|Kazunoko,3-0,TSC|Dieminion
RZR|Xian,3-2,RZR|Fuudo
EG|Momochi,3-1,/r/Kappa|Kazunoko
EG|Momochi,3-1,RZR|Fuudo
RZR|Xian,3-2,EG|Momochi
