winner,rounds,loser
MCZ | MAGO,2-0,BSC Nevillebamshew
WSO | Logan Sama,2-0,ShirkerBee
YMB 9 Shinzou,2-0,BFL | Mowat Man
JonnySlipsIn,2-1,TSS Atma
MCZ | MAGO,2-0,WSO | Logan Sama
YMB 9 Shinzou,2-1,JonnySlipsIn
BSC Nevillebamshew,2-0,ShirkerBee
BSC Nevillebamshew,2-0,JonnySlipsIn
BFL | Mowat Man,2-0,TSS Atma
WSO | Logan Sama,2-0,BFL | Mowat Man
BSC Nevillebamshew,2-0,WSO | Logan Sama
MCZ | MAGO,2-0,YMB 9 Shinzou
BSC Nevillebamshew,2-0,YMB 9 Shinzou
MCZ Tokido,2-0,Chris Gillon
ALaughingGoblin,2-0,KingQuaka
Strider,2-0,DRM Steikachay
RDE | Porcupine,2-0,joffocakes
MCZ Tokido,2-0,ALaughingGoblin
Strider,2-0,RDE | Porcupine
MCZ Tokido,2-1,Strider
KingQuaka,2-0,Chris Gillon
joffocakes,2-0,DRM Steikachay
KingQuaka,2-0,RDE | Porcupine
ALaughingGoblin,2-0,joffocakes
KingQuaka,2-0,ALaughingGoblin
Strider,2-1,KingQuaka
RZR | Xian,2-0,Glasgow Kev
Abswing,2-0,Launchpad McRoss
Pun Pun,2-0,RDE Akraat
Ajay,2-0,Shivryuken
RZR | Xian,2-0,Abswing
Ajay,2-0,Pun Pun
RZR | Xian,2-0,Ajay
Glasgow Kev,2-0,Launchpad McRoss
RDE Akraat,2-0,Shivryuken
Glasgow Kev,2-0,Pun Pun
RDE Akraat,2-0,Abswing
RDE Akraat,2-0,Glasgow Kev
RDE Akraat,2-0,Ajay
Ryan Hart,2-0,Shiro
Shredded Manlet,2-0,Lexu
RST Richard Galloway,2-1,FairlySadPanda
YMB 9 | Sho,2-0,ED | HaWXx Is Rippin
Ryan Hart,2-0,Shredded Manlet
YMB 9 | Sho,2-0,RST Richard Galloway
Ryan Hart,2-0,YMB 9 | Sho
Shiro,2-0,Lexu
FairlySadPanda,2-0,ED | HaWXx Is Rippin
RST Richard Galloway,2-0,Shiro
FairlySadPanda,2-0,Shredded Manlet
RST Richard Galloway,2-1,FairlySadPanda
YMB 9 | Sho,2-1,RST Richard Galloway
Luffy,2-0,Space Problems
YMB 9 Big Boss,2-0,flicky
LLL Emersion,2-0,UM Tyrant
Smash,2-0,RDE SDDowns
Luffy,2-0,YMB 9 Big Boss
LLL Emersion,2-0,Smash
Luffy,2-0,LLL Emersion
flicky,2-0,Space Problems
UM Tyrant,2-0,RDE SDDowns
Smash,2-0,flicky
UM Tyrant,2-0,YMB 9 Big Boss
UM Tyrant,2-0,Smash
UM Tyrant,2-0,LLL Emersion
