winner,rounds,loser
Ambush,,Majesticstylez
GLB,,C-Los
Filipinoman,,GPL- Flashkoto
mattdaddy916,,Ghodere
Filipinoman,,mattdaddy916
GLB,,Ambush
Kwyjibo,,EddyDangerous
AVM | GamerBee,,Kwyjibo
C-Los,,Majesticstylez
GPL- Flashkoto,,Ghodere
AVM | GamerBee,,GLB
pH | Jame,,Zero_Hour
PHDinSPD,,DUX_RYU
pH | Jame,,PHDinSPD
Filipinoman,,pH | Jame
AVM | GamerBee,,Filipinoman
PHDinSPD,,EddyDangerous
C-Los,,mattdaddy916
GPL- Flashkoto,,Ambush
Zero_Hour,,DUX_RYU
Kwyjibo,,Zero_Hour
PHDinSPD,,C-Los
Kwyjibo,,GPL- Flashkoto
GLB,,PHDinSPD
pH | Jame,,Kwyjibo
GLB,,pH | Jame
Filipinoman,,GLB
AVM | GamerBee,,Filipinoman
DM | Soothsayer,,BlueBOMBER
FirstNevermore,,HardTymze
Kino,,HF | dreiss
CuBlanco,,lilsicx
WMD| Mom's Spaghetti,,Laziepokekai
mikey r,,ToneLoki
Velociraptor,,SBA Big Arch
Snake Eyez,,DM | Soothsayer
Kino,,FirstNevermore
CuBlanco,,WMD| Mom's Spaghetti
Velociraptor,,mikey r
HardTymze,,HF | dreiss
lilsicx,,Laziepokekai
SBA Big Arch,,ToneLoki
mikey r,,BlueBOMBER
WMD| Mom's Spaghetti,,HardTymze
lilsicx,,FirstNevermore
SBA Big Arch,,DM | Soothsayer
mikey r,,WMD| Mom's Spaghetti
lilsicx,,SBA Big Arch
Snake Eyez,,Kino
Velociraptor,,CuBlanco
mikey r,,Kino
CuBlanco,,lilsicx
Velociraptor,,Snake Eyez
CuBlanco,,mikey r
Snake Eyez,,CuBlanco
Velociraptor,,Snake Eyez
RZR｜FUUDO,,Audriolen
Ultima,,BCW-Rapidrunx
DM | Katzu,,Romeo
kizzie kay,,HF | tierney
pH HooDaMan,,MadChewie
Ramen Addict,,Gorillapino
Sailor Venus,,tharimrattler
801 Mr Gork,,DTFlipper
BCW-Rapidrunx,,Audriolen
Romeo,,HF | tierney
MadChewie,,Gorillapino
tharimrattler,,DTFlipper
RZR｜FUUDO,,Ultima
kizzie kay,,DM | Katzu
pH HooDaMan,,Ramen Addict
Sailor Venus,,801 Mr Gork
RZR｜FUUDO,,kizzie kay
pH HooDaMan,,Sailor Venus
RZR｜FUUDO,,pH HooDaMan
Ramen Addict,,Romeo
801 Mr Gork,,BCW-Rapidrunx
DM | Katzu,,MadChewie
Ultima,,tharimrattler
Ramen Addict,,801 Mr Gork
Ultima,,DM | Katzu
kizzie kay,,Ramen Addict
Ultima,,Sailor Venus
Ultima,,kizzie kay
pH HooDaMan,,Ultima
RZR｜FUUDO,,pH HooDaMan
alkaline,,Cult of Sirlin
Jhunie,,ARCADEdreams
GroceryOutletJustin,,kaynewesker
Kelvin Jeon,,MacFaltine
Jared,,MR| JetPackJohnny
rice_crackers,,pim118
WA|DM SALPACINO,,QED
EG JWong,,alkaline
Jhunie,,GroceryOutletJustin
Kelvin Jeon,,Jared
WA|DM SALPACINO,,rice_crackers
kaynewesker,,ARCADEdreams
MR| JetPackJohnny,,MacFaltine
QED,,pim118
rice_crackers,,Cult of Sirlin
Jared,,kaynewesker
MR| JetPackJohnny,,GroceryOutletJustin
QED,,alkaline
EG JWong,,Jhunie
Kelvin Jeon,,WA|DM SALPACINO
Jared,,rice_crackers
QED,,MR| JetPackJohnny
Jared,,Jhunie
WA|DM SALPACINO,,QED
Jared,,WA|DM SALPACINO
EG JWong,,Kelvin Jeon
Kelvin Jeon,,Jared
EG JWong,,Kelvin Jeon
danphan,,Chromo
Blaqskillz,,DM | Nothing Man
Arrow,,DMF
Filipino Champ,,NewbTrait
SD Pnoy,,Dirty Paws
Tay Soul,,Millz
WHITE GUN,,V12 Hypnos
DM | Nothing Man,,DMF
Dirty Paws,,NewbTrait
Millz,,V12 Hypnos
Kazunoko,,danphan
Arrow,,Blaqskillz
Filipino Champ,,SD Pnoy
WHITE GUN,,Tay Soul
Chromo,,Tay Soul
SD Pnoy,,DM | Nothing Man
Dirty Paws,,Blaqskillz
danphan,,Millz
Kazunoko,,Arrow
WHITE GUN,,Filipino Champ
SD Pnoy,,Chromo
Dirty Paws,,danphan
Filipino Champ,,Dirty Paws
SD Pnoy,,Arrow
Kazunoko,,WHITE GUN
SD Pnoy,,Filipino Champ
SD Pnoy,,WHITE GUN
Kazunoko,,SD Pnoy
r/kappa FGC EX Pugera,,El Smith
BrasssMunkye,,Andrew Gib
Ce Jabdrunk,,Drago_DRK
Lamerboi,,HF | Tang
pH | LPN,,Jigsaw
NickTanella,,Nefarious Al
S0N1C W0LF,,NorCal Joe
Tyram,,Floe
r/kappa FGC EX Pugera,,BrasssMunkye
Lamerboi,,Ce Jabdrunk
pH | LPN,,NickTanella
Tyram,,S0N1C W0LF
pH | LPN,,Tyram
r/kappa FGC EX Pugera,,Ce Jabdrunk
El Smith,,Andrew Gib
HF | Tang,,Drago_DRK
Nefarious Al,,Jigsaw
NorCal Joe,,Floe
El Smith,,S0N1C W0LF
NickTanella,,HF | Tang
Ce Jabdrunk,,Nefarious Al
NorCal Joe,,BrasssMunkye
r/kappa FGC EX Pugera,,Lamerboi
El Smith,,NickTanella
Ce Jabdrunk,,NorCal Joe
r/kappa FGC EX Pugera,,pH | LPN
Lamerboi,,El Smith
Ce Jabdrunk,,Tyram
Ce Jabdrunk,,Lamerboi
pH | LPN,,Ce Jabdrunk
r/kappa FGC EX Pugera,,pH | LPN
Infiltration,,138zod
Koryu,,CodeSerial
KS|CBRN|NightTwo,,BBS OWN Black_DynoWright
Tempo/ ChrisG,,N4Us
pieguy,,NastyNizzzle1
SD | Tempest,,Onslaught
raoul,,TSP | Timtastic
BlockBuster Jon,,Falcomist
Infiltration,,Koryu
Tempo/ ChrisG,,KS|CBRN|NightTwo
