winner,rounds,loser
Big Betty Swalls,,Rain
EG JWong,,Big Betty Swalls
Gedub| Ce| jabdrunk,,Dean of Games
Mean Saltine,,SHOGUNDo
Bunsen Burner,,dkn29
Filipino Champ,,DrunkenBanana
Romora,,Cxhwang
Dickson,,Tuan
YabukiStyle,,801 Mr Gork
EG JWong,,Gedub| Ce| jabdrunk
Bunsen Burner,,Mean Saltine
Filipino Champ,,Romora
Dickson,,YabukiStyle
801 Mr Gork,,Rain
801 Mr Gork,,Tuan
DrunkenBanana,,Cxhwang
SHOGUNDo,,dkn29
Dean of Games,,Big Betty Swalls
Mean Saltine,,801 Mr Gork
Gedub| Ce| jabdrunk,,DrunkenBanana
YabukiStyle,,SHOGUNDo
Dean of Games,,Romora
EG JWong,,Bunsen Burner
Dickson,,Filipino Champ
Mean Saltine,,Gedub| Ce| jabdrunk
YabukiStyle,,Dean of Games
Filipino Champ,,Mean Saltine
Bunsen Burner,,YabukiStyle
EG JWong,,Dickson
Filipino Champ,,Bunsen Burner
Dickson,,Filipino Champ
[Anet]Nightmare2450,,Saturnize
Tempo/ Chris G,,[Anet]Nightmare2450
Frisco,,S-Blade
VGP cHaotix,,Derick S
NOC | Leviathan,,Cuddles|FADC|Nasty
Julio,,Dave O
BE|Kane BlueRiver,,30F|Teyah
Bokkin,,YoPumpkinHead
Clim,,S̶c̶u̶b̶a̶S̶t̶e̶v̶e̶2̶5̶3̶ ̶-̶ ̶W
Tempo/ Chris G,,Frisco
NOC | Leviathan,,VGP cHaotix
Julio,,BE|Kane BlueRiver
Bokkin,,Clim
Saturnize,,S̶c̶u̶b̶a̶S̶t̶e̶v̶e̶2̶5̶3̶ ̶-̶ ̶W
Saturnize,,YoPumpkinHead
Dave O,,30F|Teyah
Cuddles|FADC|Nasty,,Derick S
[Anet]Nightmare2450,,S-Blade
VGP cHaotix,,Saturnize
Frisco,,Dave O
Clim,,Cuddles|FADC|Nasty
BE|Kane BlueRiver,,[Anet]Nightmare2450
Tempo/ Chris G,,NOC | Leviathan
Julio,,Bokkin
VGP cHaotix,,Frisco
Clim,,BE|Kane BlueRiver
Tempo/ Chris G,,Julio
Julio,,Tempo/ Chris G
VGP cHaotix,,Bokkin
Clim,,NOC | Leviathan
VGP cHaotix,,Clim
Tempo/ Chris G,,VGP cHaotix
LUEshi,,765Pro
JoeyCl,,MrxRubin
EG PR Balrog,,LUEshi
Gutter Trash,,CANJS | CxR | BionicFraud
pH | Jame,,PDX Waifu Mobile (Goggles)
Kaleo,,Collusion Spark
TFA GERMAN LUGER,,JoeyCl
CHG JoeyStorm,,N4Us
CCG|Air,,Dragonglove
DrooMighty,,IPG|DCB StaticGorilla
IPG|DCB StaticGorilla,,765Pro
Collusion Spark,,MrxRubin
IPG|DCB StaticGorilla,,Dragonglove
JoeyCl,,N4Us
PDX Waifu Mobile (Goggles),,Collusion Spark
CANJS | CxR | BionicFraud,,LUEshi
EG PR Balrog,,Gutter Trash
Kaleo,,pH | Jame
TFA GERMAN LUGER,,CHG JoeyStorm
CCG|Air,,DrooMighty
pH | Jame,,IPG|DCB StaticGorilla
JoeyCl,,Gutter Trash
DrooMighty,,PDX Waifu Mobile (Goggles)
CHG JoeyStorm,,CANJS | CxR | BionicFraud
EG PR Balrog,,Kaleo
CCG|Air,,TFA GERMAN LUGER
pH | Jame,,JoeyCl
CHG JoeyStorm,,DrooMighty
pH | Jame,,TFA GERMAN LUGER
Kaleo,,CHG JoeyStorm
CCG|Air,,EG PR Balrog
pH | Jame,,Kaleo
EG PR Balrog,,pH | Jame
CCG|Air,,EG PR Balrog
DatC,,Moist
KojiKOG,,DatC
SRKUW | Kpop,,30F|nagai
pH|Crackfiend,,Badguy
Deadmoo5,,SamBlack
brenttiscool,,VGFTaylor
Shorjewken,,Cpt.Marvel
LushyLushy,,SpentTime
Nacer,,Vilmon
Vilmon,,Moist
KojiKOG,,SRKUW | Kpop
pH|Crackfiend,,Deadmoo5
brenttiscool,,Shorjewken
LushyLushy,,Nacer
Vilmon,,SpentTime
Deadmoo5,,Vilmon
Cpt.Marvel,,VGFTaylor
SRKUW | Kpop,,Cpt.Marvel
SamBlack,,Badguy
Nacer,,SamBlack
DatC,,30F|nagai
Shorjewken,,DatC
KojiKOG,,pH|Crackfiend
brenttiscool,,LushyLushy
Deadmoo5,,SRKUW | Kpop
Deadmoo5,,LushyLushy
Nacer,,Shorjewken
pH|Crackfiend,,Nacer
KojiKOG,,brenttiscool
pH|Crackfiend,,Deadmoo5
brenttiscool,,pH|Crackfiend
Dum Yao Ah,,Tez
EG Ricky Ortiz,,Dum Yao Ah
Scha,,guro_loli
Boeken,,VDon
n1 Kupo,,biscuit
SRKUW you know who it is,,Seventh Trumpet
bklynExpress,,Mr. 
UGC Vicious,,Joe Young
Muscle Steel Sex Appeal,,Jackson DeRuloo
Tez,,Jackson DeRuloo
EG Ricky Ortiz,,Scha
n1 Kupo,,Boeken
SRKUW you know who it is,,bklynExpress
UGC Vicious,,Muscle Steel Sex Appeal
Tez,,Joe Young
Mr. ,,Seventh Trumpet
VDon,,biscuit
Dum Yao Ah,,guro_loli
Boeken,,Tez
Scha,,Mr. 
