winner,rounds,loser
INFILTRATION,2-0,ddungemi43
joyfull78,2-0,Fender
rinbo7,2-0,aiku
근성FRS,2-0,ink7
Fender,2-0,ddungemi43
ink7,2-0,aiku
INFILTRATION,2-0,joyfull78
joyfull78,2-1,ink7
근성FRS,2-1,rinbo7
rinbo7,2-0,Fender
ink7,2-0,joyfull78
ink7,2-1,rinbo7
INFILTRATION,2-0,근성FRS
근성FRS,2-1,ink7
Itazan0429,2-0,Dav0s
Gonzalez,2-1,Prettyminky
Sketch,2-1,FSM Spabobin
Dark Jiewa,2-0,shiro(xiao bai)
FSM Spabobin,2-0,Dav0s
Itazan0429,2-0,Sketch
Dark Jiewa,2-1,Gonzalez
Prettyminky,2-0,shiro(xiao bai)
Gonzalez,2-0,FSM Spabobin
Itazan0429,2-1,Dark Jiewa
Prettyminky,2-1,Sketch
Gonzalez,2-0,Prettyminky
Dark Jiewa,2-1,Gonzalez
Mullen,2-0,Cameraman
mintcheerios,2-0,Legato974
LAUGH,2-0,PhDeeJay (no PSN ID)
Kazunoko,2-0,AL
AL,2-0,Cameraman
LAUGH,2-0,mintcheerios
PhDeeJay (no PSN ID),2-0,Legato974
Kazunoko,2-0,Mullen
mintcheerios,2-1,AL
Mullen,2-1,PhDeeJay (no PSN ID)
Kazunoko,2-0,LAUGH
mintcheerios,2-0,Mullen
LAUGH,2-0,mintcheerios
DBkoopa,2-0,ItsForeverKursed
MCZ Tokido,2-0,drakefang
No-Leaf_Clover76,2-1,JIEWA
Kimlegend,2-1,NINJA musik g
NINJA musik g,2-0,drakefang
DBkoopa,2-0,No-Leaf_Clover76
JIEWA,2-0,ItsForeverKursed
MCZ Tokido,2-0,Kimlegend
NINJA musik g,2-1,No-Leaf_Clover76
Kimlegend,2-0,JIEWA
MCZ Tokido,2-0,DBkoopa
Kimlegend,2-1,NINJA musik g
DBkoopa,2-0,Kimlegend
Almond42,2-0,RZR Fuudo
KOK,2-0,ilovepjw
CCG Humanbomb,2-0,iim83man
BIGDANMUL,2-0,Kage
Kage,2-0,RZR Fuudo
BIGDANMUL,2-0,Almond42
iim83man,2-0,ilovepjw
iim83man,2-1,Almond42
CCG Humanbomb,2-0,KOK
CCG Humanbomb,2-0,BIGDANMUL
KOK,2-1,Kage
KOK,2-0,iim83man
KOK,2-1,BIGDANMUL
Volg,2-0,steve791
eita1988,2-0,CptMaumau
CptMaumau,2-0,steve791
eita1988,2-0,Volg
Codynp,2-0,Matune
YBK Kim1234,2-1,SoraWings
SoraWings,2-0,Matune
YBK Kim1234,2-1,Codynp
SoraWings,2-1,Volg
Codynp,2-0,CptMaumau
Codynp,2-1,SoraWings
eita1988,2-1,YBK Kim1234
YBK Kim1234,2-1,Codynp
BONCHAN,2-0,TheMulverine
MADANA pc,2-0,SPIRITZERO
Dunbine,2-0,WeirdoNeo
WeirdoNeo,2-0,TheMulverine
Chuan,2-0,realvocalist
realvocalist,2-0,SPIRITZERO
BONCHAN,2-0,Dunbine
Chuan,2-0,MADANA pc
WeirdoNeo,2-0,MADANA pc
Dunbine,2-0,realvocalist
WeirdoNeo,2-0,Dunbine
BONCHAN,2-0,Chuan
Chuan,2-0,WeirdoNeo
SAULABIS,2-0,JKKK
POONGKO,2-0,Miss ShinoBee
mulverrine,2-0,KEC|SL Burnout
Miss ShinoBee,2-0,JKKK
YBK Shiro,2-0,zZlnsaneZz
zZlnsaneZz,2-0,KEC|SL Burnout
YBK Shiro,2-1,mulverrine
POONGKO,2-1,SAULABIS
mulverrine,2-1,Miss ShinoBee
SAULABIS,2-0,zZlnsaneZz
SAULABIS,2-0,mulverrine
POONGKO,2-0,YBK Shiro
YBK Shiro,2-0,SAULABIS
R/kappa Infiltration,2-0,FRS
RZR Itazan,2-0,Dark Jiewa
Kazunoko,2-0,Laugh
MCZ Tokido,2-0,DBKoopa
CCG Humanbomb,2-0,KOK
Eita,2-0,YBK Kim1234
BonChan,2-0,Chuan
YBK Poongko,2-0,YBK Shiro
Dark Jiewa,3-0,FRS
R/kappa Infiltration,3-2,RZR Itazan
DBKoopa,3-2,Laugh
MCZ Tokido,3-1,Kazunoko
KOK,3-0,YBK Kim1234
CCG Humanbomb,3-0,Eita
Chuan,3-2,YBK Shiro
R/KAPPA Poongko,3-1,BonChan
Kazunoko,3-2,KOK
Eita,3-0,DBKoopa
BonChan,3-2,Dark Jiewa
RZR Itazan,3-1,Chuan
R/kappa Infiltration,3-1,MCZ Tokido
R/KAPPA Poongko,3-2,CCG Humanbomb
BonChan,3-0,Eita
Kazunoko,3-0,RZR Itazan
BonChan,3-1,MCZ Tokido
Kazunoko,3-2,CCG Humanbomb
R/kappa Infiltration,3-1,R/KAPPA Poongko
BonChan,3-1,Kazunoko
BonChan,3-1,R/KAPPA Poongko
R/kappa Infiltration,3-2,BonChan
