winner,rounds,loser
MCZ Tokido,2-0,大分人
スコア,2-0,たいがー
Reiketsu,2-0,RF
ガチくん,2-0,Sanjo
YBK Kim1234,2-1,金デヴ
ジェッパー,2-1,パスタ3
あきも,2-0,クンスト
かずのこ,2-0,RayKay
ひかりん,--1,様式美
キンドー,2-0,なお
ミッセ,2-1,もづく
inco,2-0,まーやー
ネモ,2-0,Sketch
fubarduck,2-1,カリスマ
みだれねこ,--1,ミゾテル
小路KOG,2-0,こま
たれ蔵,2-0,ペルシャ
マツリ,2-0,モッツェルおじさん
かわぐち,2-1,たーやん
めう,2-0,あかり
志郎,2-0,島唄
anton,2-0,ギャズ
KOK,2-0,ハリデシ
トンピー,2-1,ローキン
シロマティ,2-0,ゴンザレス
どぐら,2-1,ずん
板橋ザンギエフ,2-0,きょく
ぺぺだい♪,2-0,べー
NISHIKIN,2-0,ぷりん
えいた,2-0,FSM Spabobin
ボンちゃん,2-0,ＭＡＳＴ
あきも,2-1,Reiketsu
ガチくん,2-1,ジェッパー
anton,2-1,KOK
ネモ,2-0,マツリ
かずのこ,2-1,ひかりん
fubarduck,2-0,ハイタニ
かわぐち,2-1,みだれねこ
どぐら,2-1,めう
トンピー,2-0,えいた
たれ蔵,2-0,NISHIKIN
志郎,2-1,小路KOG
ボンちゃん,2-0,シロマティ
ぺぺだい♪,2-0,板橋ザンギエフ
RF,2-0,クンスト
パスタ3,2-1,Sanjo
ハリデシ,2-0,ギャズ
ミッセ,2-0,YBK Kim1234
MCZ Tokido,2-1,スコア
大分人,2-0,たいがー
もづく,2-0,金デヴ
inco,2-0,キンドー
ペルシャ,2-0,ぷりん
なお,2-0,まーやー
RayKay,--1,様式美
たーやん,--1,ミゾテル
Sketch,2-1,モッツェルおじさん
こま,2-0,島唄
ゴンザレス,2-0,ＭＡＳＴ
ローキン,2-0,FSM Spabobin
きょく,2-0,べー
めう,2-1,RF
シロマティ,2-0,大分人
板橋ザンギエフ,2-0,パスタ3
ずん,2-1,あかり
えいた,2-0,もづく
ハリデシ,2-0,みだれねこ
マツリ,2-0,カリスマ
NISHIKIN,2-0,なお
こま,2-1,ひかりん
キンドー,2-0,ペルシャ
ハイタニ,2-0,Sketch
たーやん,2-0,KOK
小路KOG,2-0,RayKay
ジェッパー,2-0,きょく
ローキン,2-0,YBK Kim1234
Reiketsu,2-0,ずん
ゴンザレス,2-1,スコア
ガチくん,2-1,anton
トンピー,2-0,たれ蔵
ネモ,2-1,志郎
かわぐち,2-1,ぺぺだい♪
めう,2-0,シロマティ
inco,2-1,ミッセ
ボンちゃん,2-0,どぐら
MCZ Tokido,2-1,あきも
かずのこ,2-0,fubarduck
板橋ザンギエフ,2-0,ハリデシ
えいた,2-1,NISHIKIN
小路KOG,2-0,マツリ
ハイタニ,2-1,こま
Reiketsu,2-1,ゴンザレス
キンドー,2-1,ローキン
たーやん,2-1,ジェッパー
えいた,2-0,anton
ミッセ,2-0,板橋ザンギエフ
めう,2-0,fubarduck
ハイタニ,2-0,どぐら
小路KOG,2-0,あきも
ミッセ,2-0,めう
たーやん,2-1,たれ蔵
志郎,2-1,Reiketsu
ぺぺだい♪,2-1,キンドー
小路KOG,2-1,えいた
志郎,2-1,たーやん
ぺぺだい♪,2-1,ハイタニ
MCZ Tokido,2-0,ガチくん
ボンちゃん,2-0,かわぐち
inco,2-1,かずのこ
トンピー,2-1,ネモ
ぺぺだい♪,2-1,ガチくん
小路KOG,2-0,かわぐち
かずのこ,2-0,志郎
ネモ,2-1,ミッセ
トンピー,3-2,ボンちゃん
トンピー,3-0,MCZ Tokido
ネモ,3-0,小路KOG
かずのこ,3-1,ぺぺだい♪
かずのこ,3-1,ボンちゃん
ネモ,3-0,かずのこ
ネモ,3-1,MCZ Tokido
ネモ,3-0,トンピー
ネモ,3-1,トンピー
