winner,rounds,loser
Winchester,3-0,Joshua Alexander
(SETX) WillCola,2-0,three6D
Tierproblem,2-0,Alex-23
DMANSLAND,2-0,INS AJ Tucker
Tierproblem,2-1,Fickle Platypus
OD Chairman,2-0,(SETX) WillCola
xx YouR Disease,2-0,DMANSLAND
(SETX) WillCola,3-2,INS AJ Tucker
DMANSLAND,2-0,three6D
xx YouR Disease,2-1,Tierproblem
Joshua Alexander,2-0,Fickle Platypus
INFILTRATION,2-1,Winchester
Winchester,2-0,Alex-23
DMANSLAND,2-1,Joshua Alexander
Winchester,2-0,(SETX) WillCola
INFILTRATION,2-0,OD Chairman
Winchester,2-0,Tierproblem
OD Chairman,2-1,DMANSLAND
OD Chairman,2-1,Winchester
INFILTRATION,2-0,xx YouR Disease
OD Chairman,2-0,xx YouR Disease
money Martinez,3-0,Kermit Alexander
BlakRevolver,2-0,The American Dream
EG JWong,2-0,money Martinez
Big Poe,2-0,Fullbring
SETX 199X Survivor Pro,2-0,BlakRevolver
EG JWong,2-0,SETX 199X Survivor Pro
Starwin,2-0,Assan Chop
Big Poe,2-0,King Koopa
Starwin,2-1,Josue
Assan Chop,2-0,money Martinez
King Koopa,2-0,The American Dream
Josue,2-0,Kermit Alexander
Starwin,2-1,Big Poe
Fullbring,2-1,BlakRevolver
Josue,2-0,King Koopa
Assan Chop,2-0,Fullbring
Josue,2-0,SETX 199X Survivor Pro
Assan Chop,2-1,Big Poe
Josue,2-0,Assan Chop
EG JWong,2-0,Starwin
Starwin,2-0,Josue
Krisimbored,2-0,Swoopcoupe
Dawgenhower,2-0,readyforpowwow
ICG RedVelvet,2-0,DaisukeTensei
Ip Man,2-0,GHOSTSHOCK
TXS Raph,2-0,ICG RedVelvet
image,2-0,Ip Man
Ip Man,2-0,readyforpowwow
ICG RedVelvet,2-0,Swoopcoupe
EG K-BRAD,2-0,Krisimbored
DaisukeTensei,2-1,Krisimbored
Dawgenhower,2-1,Jayto
EG K-BRAD,2-0,image
Ip Man,2-0,DaisukeTensei
Jayto,2-0,GHOSTSHOCK
TXS Raph,2-0,Dawgenhower
Jayto,2-1,ICG RedVelvet
Ip Man,2-0,Dawgenhower
image,2-0,Jayto
Ip Man,2-0,image
EG K-BRAD,2-0,TXS Raph
Ip Man,2-0,TXS Raph
LoyalSol,2-0,Demitri
JohnnyLamonte,2-0,Batman
Duncan,2-0,SM Gill
TWG Arthur,2-0,JohnnyLamonte
Magneto1080P,2-0,GameGuys Nero
Duncan,2-0,K Tousen
JohnnyLamonte,2-0,Demitri
Magneto1080P,2-0,ONEABOVEALL AD
ONEABOVEALL AD,2-0,SM Gill
K Tousen,2-1,GameGuys Nero
TWG Arthur,2-1,Duncan
K Tousen,2-0,JohnnyLamonte
Liquid`NuckleDu,2-0,LoyalSol
LoyalSol,2-0,Batman
Magneto1080P,2-1,Liquid`NuckleDu
LoyalSol,2-0,ONEABOVEALL AD
Liquid`NuckleDu,2-1,K Tousen
Duncan,2-1,LoyalSol
Liquid`NuckleDu,2-1,Duncan
Magneto1080P,2-0,TWG Arthur
Liquid`NuckleDu,2-0,TWG Arthur
ETA Ralstaanley,2-0,El Maleman
FDF | Loco Shoto,2-0,rbr | Ecchi Mane
RM | T-Boykin,2-0,Iyokuu
GameGuys Naughty Munkey,2-0,Nick RB
EG Ricky,2-0,ETA Ralstaanley
UA Nori,2-0,FDF | Loco Shoto
ETA Ralstaanley,2-0,rbr | Ecchi Mane
JustRun,2-1,RM | T-Boykin
El Maleman,2-1,FDF | Loco Shoto
UA Nori,2-0,JustRun
RM | T-Boykin,2-0,Nick RB
GOL Krucial B,2-0,GameGuys Naughty Munkey
RM | T-Boykin,2-0,El Maleman
EG Ricky,2-0,GOL Krucial B
GameGuys Naughty Munkey,2-1,Iyokuu
EG Ricky,2-0,UA Nori
