winner,rounds,loser
EG Ricki Ortiz,2-0,b0tes
Rockdan,2-0,Wolfie
Matador Kiririnshi25,2-0,RzR.TFA Omg itz Andre
VHS Classics,2-0,Owen Tu
YOMI Joel,2-0,MasterWho
Em Cush,2-0,ScaryEyes
Dan Krolikowski,2-0,Linux
ULi,2-0,NotBAB Hadoukant
EG Ricki Ortiz,2-0,Rockdan
Matador Kiririnshi25,2-1,VHS Classics
YOMI Joel,2-0,Em Cush
Dan Krolikowski,2-0,ULi
EG Ricki Ortiz,2-0,Matador Kiririnshi25
YOMI Joel,2-0,Dan Krolikowski
EG Ricki Ortiz,2-0,YOMI Joel
Linux,2-0,NotBAB Hadoukant
MasterWho,2-0,ScaryEyes
RzR.TFA Omg itz Andre,2-0,Owen Tu
Wolfie,2-0,b0tes
Linux,2-0,VHS Classics
Rockdan,2-0,MasterWho
RzR.TFA Omg itz Andre,2-0,ULi
Em Cush,2-0,Wolfie
Rockdan,2-0,Linux
Em Cush,2-1,RzR.TFA Omg itz Andre
Rockdan,2-0,Dan Krolikowski
Em Cush,2-0,Matador Kiririnshi25
Em Cush,2-1,Rockdan
YOMI Joel,2-0,Em Cush
Mean Saltine,2-0,Hola Bird
SaltyBetts,2-0,Dex Masters
Kermit Alexander,2-0,chima
Top Hat,2-0,ChibiChild
GLB,2-0,BlaqAciD
M A D W A K,2-0,EB Mars312XD
IGS Jebailey,2-0,Mr. Gu
BT Viscant,2-0,CORN Ace King
IGS Jebailey,2-1,BT Viscant
GLB,2-0,M A D W A K
Kermit Alexander,2-0,Top Hat
Mean Saltine,2-0,SaltyBetts
Kermit Alexander,2-0,Mean Saltine
IGS Jebailey,2-0,GLB
IGS Jebailey,2-0,Kermit Alexander
Hola Bird,2-0,Dex Masters
ChibiChild,2-0,chima
BlaqAciD,2-0,EB Mars312XD
CORN Ace King,2-0,Mr. Gu
CORN Ace King,2-0,Top Hat
SaltyBetts,2-0,BlaqAciD
BT Viscant,2-0,ChibiChild
M A D W A K,2-0,Hola Bird
BT Viscant,2-0,M A D W A K
CORN Ace King,2-0,SaltyBetts
Mean Saltine,2-1,BT Viscant
CORN Ace King,2-0,GLB
Mean Saltine,2-0,CORN Ace King
Mean Saltine,2-0,Kermit Alexander
DamUrGood,,GR RedBaron
TS Sabin,2-0,DamUrGood
CB Master Splinter,,Grasshoppa
SGC Mwisk,2-0,JOB Mr. Travis
CC Armoredx,2-0,eyoh_AJAX
CJ Tajh,2-0,RGT CRAZY BLK DUDE
CG_sonicboom,2-0,DTJB
mjb,,deathtattoo83
SWK FBruce,2-1,Diddy Sinatra
TS Sabin,2-1,CB Master Splinter
CC Armoredx,2-0,SGC Mwisk
CJ Tajh,2-0,CG_sonicboom
mjb,2-1,SWK FBruce
TS Sabin,2-0,CC Armoredx
