winner,rounds,loser
EG Momochi,2-1,RZR Xian
MCZ Daigo Umehara,2-0,MD Luffy
MCZ Tokido,2-0,Bonchan
r/Kappa Infilration,2-0,Eita
EG Momochi,3-2,MCZ Daigo Umehara
r/Kappa Infilration,3-1,MCZ Tokido
EG Momochi,3-2,r/Kappa Infilration
r/Kappa Poongko,2-0,GL Valmaster
RZR Fuudo,2-1,Kazunoko
AVM Gamerbee,2-0,FA Prodigal Son
Gagapa,2-1,MCZ Mago
r/Kappa Poongko,2-0,MD Luffy
RZR Fuudo,2-1,RZR Xian
AVM Gamerbee,2-0,Eita
Bonchan,2-0,Gagapa
r/Kappa Poongko,3-1,RZR Fuudo
AVM Gamerbee,3-2,Bonchan
MCZ Tokido,3-2,r/Kappa Poongko
MCZ Daigo Umehara,3-0,AVM Gamerbee
MCZ Daigo Umehara,3-1,MCZ Tokido
MCZ Daigo Umehara,3-0,r/Kappa Infilration
MCZ Daigo Umehara,3-1,EG Momochi
MCZ Daigo Umehara,3-1,EG Momochi
