winner,rounds,loser
Dark Jiewa,2-0,LLL|MBR
IPLAY|Sheva,2-1,LLL|Emersion
Afii,2-1,IPLAY|YouGenius
/r/Kappa|Ebi,2-0,IPLAY|YouGenius
StarNab,2-1,IND|Pro Fluke
IPLAY|Sheva,2-0,IPLAY|Maruko
/r/Kappa|Poongko,2-0,TR Mac
UM|RMZ,2-0,RSD|Momi
Bonchan,2-0,LLL|MBR
MBA|Infexious,2-0,GG|Halibel
/r/Kappa|Ebi,2-0,UM|RMZ
Dark Jiewa,2-1,IPLAY|Sheva
/r/Kappa|Poongko,2-0,StarNab
MCZ|Tokido,2-1,GL|Valmaster
MD|Luffy,2-0,Bonchan
Dark Jiewa,2-1,/r/Kappa|Ebi
MCZ|Tokido,2-0,Demulant
MD|Luffy,2-0,WSO|Andreas
IND|Pro Fluke,2-0,Bonchan
GL|Valmaster,2-0,MDZ|emtpysys
Demulant,2-0,UM|RMZ
MBA|Infexious,2-0,IND|Pro Fluke
MBA|Infexious,2-0,Packz
GL|Valmaster,2-1,/r/Kappa|Ebi
/r/Kappa|Poongko,2-1,MCZ|Tokido
MD|Luffy,2-0,Dark Jiewa
MBA|Infexious,2-0,Demulant
GL|Valmaster,2-0,WSO|Andreas
MBA|Infexious,2-0,Dark Jiewa
MCZ|Tokido,2-0,GL|Valmaster
MBA|Infexious,2-1,MCZ|Tokido
MD|Luffy,3-0,/r/Kappa|Poongko
/r/Kappa|Poongko,3-0,MBA|Infexious
MD|Luffy,3-2,/r/Kappa|Poongko
