winner,rounds,loser
Duppsko,2-0,Dragonfangs
Team.Veggey BliRedd,2-1,Zelpher
Nake,2-1,TM.Robofobe
RMZ,2-0,PR0DIGY_013
UM.Tyrant,2-0,Papz
FA.Ryan Hart,2-1,IND.King Funk
Nayte,2-0,Agilo
KIG.Problem X,2-0,Warbio
Duppsko,2-0,Knix
Team.Veggey BliRedd,2-0,Nake
KIG.Problem X,2-0,Bashfest
Zelpher,2-1,TM.Robofobe
Warbio,2-0,Dragonfangs
Nayte,2-0,IND.King Funk
Agilo,2-0,PR0DIGY_013
BX3.Tp-Link.Phenom,2-0,Nake
Bashfest,2-0,Knix
Warbio,2-1,Duppsko
RMZ,2-1,FA.Ryan Hart
Papz,2-1,Team.Veggey BliRedd
Bashfest,2-0,Dragonfangs
Nayte,2-0,PR0DIGY_013
BX3.Tp-Link.Phenom,2-0,UM.Tyrant
KIG.Problem X,2-1,Knix
Zelpher,2-1,Papz
Team.Veggey BliRedd,2-0,TM.Robofobe
IND.King Funk,2-1,Agilo
KIG.Problem X,2-0,Dragonfangs
RMZ,2-1,Nayte
Bashfest,2-1,Warbio
IND.King Funk,2-0,PR0DIGY_013
BX3.Tp-Link.Phenom,2-0,TM.Robofobe
Knix,2-0,Dragonfangs
UM.Tyrant,2-0,Team.Veggey BliRedd
BX3.Tp-Link.Phenom,2-0,Zelpher
FA.Ryan Hart,2-1,Nayte
Knix,2-1,Warbio
Papz,2-0,Nake
UM.Tyrant,2-0,TM.Robofobe
RMZ,2-1,IND.King Funk
KIG.Problem X,2-1,Duppsko
BX3.Tp-Link.Phenom,2-0,Team.Veggey BliRedd
Zelpher,2-1,Nake
Bashfest,2-0,Duppsko
TM.Robofobe,2-1,Papz
FA.Ryan Hart,2-1,Agilo
BX3.Tp-Link.Phenom,2-0,Papz
RMZ,2-0,Agilo
UM.Tyrant,2-0,Zelpher
FA.Ryan Hart,2-1,PR0DIGY_013
UM.Tyrant,2-0,Nake
Remes,2-0,James Deen
IND.Ixion,2-0,Remes
Doxus,2-0,Archiba
UM.IMSTILLDADADDY,2-0,Remes
Remes,2-0,Archiba
Doxus,2-1,Remes
brillz,2-1,IKEA_Patrik
Pedro Unchained,2-1,AGI.RSD.CharmingRogue
UM.IMSTILLDADADDY,0-0,Doxus
Ettelman,2-0,ParanoiaR
Pro Fluke,2-0,Brick
IND.Ixion,2-1,Doxus
iKi,2-1,Iahadima
Brick,2-0,ParanoiaR
MD.Luffy,2-0,LLL.MBR
Ettelman,2-0,Iahadima
AGI.RSD.CharmingRogue,2-0,IKEA_Patrik
IND.Ixion,2-0,Archiba
brillz,2-0,Pedro Unchained
Brick,2-0,iKi
Iahadima,2-0,ParanoiaR
Pro Fluke,2-0,Ettelman
MD.Luffy,2-0,IKEA_Patrik
LLL.MBR,2-0,AGI.RSD.CharmingRogue
James Deen,2-1,Archiba
iKi,2-0,ParanoiaR
LLL.MBR,2-0,brillz
IND.Ixion,2-0,James Deen
Pedro Unchained,2-0,IKEA_Patrik
UM.IMSTILLDADADDY,2-1,Doxus
IND.Ixion,2-0,Remes
MD.Luffy,2-0,AGI.RSD.CharmingRogue
Ettelman,2-0,iKi
Brick,2-1,Iahadima
Pro Fluke,2-0,ParanoiaR
Pro Fluke,2-0,iKi
Doxus,2-0,James Deen
LLL.MBR,2-1,Pedro Unchained
UM.IMSTILLDADADDY,2-0,Remes
LLL.MBR,2-0,IKEA_Patrik
UM.IMSTILLDADADDY,2-0,James Deen
Pro Fluke,2-1,Iahadima
Brick,2-0,Ettelman
brillz,2-1,AGI.RSD.CharmingRogue
UM.IMSTILLDADADDY,2-0,Archiba
MD.Luffy,2-0,Pedro Unchained
MD.Luffy,2-0,brillz
UM.IMSTILLDADADDY,2-0,IND.Ixion
Yagami,2-0,Jeparianen
Jet,2-0,Pylo
Yagami,2-0,LYHS
Dreadleif,2-0,JNS
WSO.Andreas,2-0,LYHS
AverMedia GamerBee,2-0,Jet
IND.SaltyKid,2-0,Pylo
Forward Dash,2-0,Dr. Cat
LYHS,2-0,Jeparianen
Jet,2-0,JNS
AverMedia GamerBee,2-0,Dreadleif
Yagami,2-0,Dr. Cat
LYHS,2-1,Forward Dash
AverMedia GamerBee,2-0,Pylo
WSO.Andreas,2-0,Yagami
Jet,2-0,Dreadleif
WSO.Andreas,2-0,Jeparianen
Dr. Cat,2-0,Jeparianen
AverMedia GamerBee,2-1,JNS
Yagami,2-0,Forward Dash
LYHS,2-0,Dr. Cat
Dreadleif,2-0,Pylo
WSO.Andreas,2-0,LYHS
IND.SaltyKid,2-0,Jet
Forward Dash,2-0,Jeparianen
WSO.Andreas,2-0,Dr. Cat
AverMedia GamerBee,2-0,IND.SaltyKid
JNS,2-0,Pylo
WSO.Andreas,2-0,Forward Dash
Duppsko,2-1,Warbio
Warbio,2-1,Knix
IND.SaltyKid,2-1,JNS
IND.SaltyKid,2-0,Dreadleif
UM.Tyrant,2-0,Duppsko
MD.Luffy,2-0,IND.King Funk
Pro Fluke,2-0,Remes
Brick,2-0,Doxus
KIG.Problem X,2-0,Zelpher
RMZ,2-0,Pedro Unchained
BX3.Tp-Link.Phenom,2-0,Warbio
WSO.Andreas,2-0,Dreadleif
FA.Ryan Hart,2-0,brillz
LLL.MBR,2-0,Nayte
AverMedia GamerBee,2-0,Forward Dash
UM.IMSTILLDADADDY,2-0,iKi
IND.Ixion,2-1,Ettelman
IND.SaltyKid,2-0,LYHS
Nayte,2-0,Zelpher
UM.Tyrant,2-1,RMZ
Duppsko,2-0,Pedro Unchained
Jet,2-1,Yagami
Bashfest,2-1,Team.Veggey BliRedd
BX3.Tp-Link.Phenom,2-0,FA.Ryan Hart
IND.King Funk,2-0,Team.Veggey BliRedd
Forward Dash,2-0,Doxus
Remes,2-0,LYHS
brillz,2-1,Warbio
Pro Fluke,2-0,IND.SaltyKid
iKi,2-1,Yagami
Ettelman,2-0,Dreadleif
AverMedia GamerBee,2-0,Brick
MD.Luffy,2-0,Bashfest
IND.King Funk,2-0,Brick
WSO.Andreas,2-1,IND.Ixion
KIG.Problem X,2-0,LLL.MBR
UM.IMSTILLDADADDY,2-0,Jet
LLL.MBR,2-0,Remes
Pro Fluke,2-0,BX3.Tp-Link.Phenom
RMZ,2-0,Ettelman
brillz,2-1,Jet
IND.SaltyKid,2-0,Nayte
FA.Ryan Hart,2-0,iKi
Bashfest,2-1,Forward Dash
AverMedia GamerBee,2-0,UM.Tyrant
Duppsko,2-1,IND.Ixion
RMZ,2-0,IND.King Funk
LLL.MBR,2-0,brillz
Bashfest,2-1,Duppsko
MD.Luffy,2-1,WSO.Andreas
FA.Ryan Hart,2-0,IND.SaltyKid
KIG.Problem X,2-1,UM.IMSTILLDADADDY
BX3.Tp-Link.Phenom,2-0,Bashfest
LLL.MBR,2-0,UM.Tyrant
UM.IMSTILLDADADDY,2-0,RMZ
FA.Ryan Hart,2-1,WSO.Andreas
AverMedia GamerBee,2-1,Pro Fluke
MD.Luffy,3-2,KIG.Problem X
LLL.MBR,3-2,BX3.Tp-Link.Phenom
FA.Ryan Hart,3-1,UM.IMSTILLDADADDY
MD.Luffy,3-2,AverMedia GamerBee
KIG.Problem X,3-1,LLL.MBR
FA.Ryan Hart,3-2,Pro Fluke
KIG.Problem X,3-2,FA.Ryan Hart
KIG.Problem X,3-0,AverMedia GamerBee
MD.Luffy,3-1,KIG.Problem X
