winner,rounds,loser
MCZ Daigo,,YBK Kim1234
YBK Shiro,,Kindevu
RZR Itabashi,,AVM Gamerbee
Douyu Qanba Xiaohai,,Huomaotv Jiewa
RZR Xian,,Papatiwawa
CCG Humanbomb,,Eita
EG Momochi,,QiuQiuKOF
Kazunoko,,Codynp
R/kappa Infiltration,,FGC Bean
Gachikun,,Somniac
MCZ Tokido,,Kawaguchi
RZR RB,,R/Kappa Misse
R/Kappa Poongko,,RZR Gackt
RZR Fuudo,,QQEL
MCZ Mago,,TGU Zhedloo
G.Y.R.O,,Player32
YBK Kim1234,2-0,Kindevu
AVM Gamerbee,2-0,Huomaotv Jiewa
MCZ Daigo,2-0,YBK Shiro
Eita,2-0,Papatiwawa
Douyu Qanba Xiaohai,2-1,RZR Itabashi
QiuQiuKOF,2-0,Codynp
Somniac,2-1,FGC Bean
RZR Xian,2-1,CCG Humanbomb
R/Kappa Misse,2-0,Kawaguchi
Kazunoko,2-0,EG Momochi
R/kappa Infiltration,2-0,Gachikun
QQEL,2-0,RZR Gackt
TGU Zhedloo,2-1,BonChan
CCG Humanbomb,2-0,R/Kappa Misse
MCZ Tokido,2-0,RZR RB
QiuQiuKOF,2-0,Gachikun
EG Momochi,2-0,Somniac
YBK Shiro,2-0,TGU Zhedloo
RZR Itabashi,2-0,QQEL
RZR RB,2-0,Eita
EG Momochi,2-0,CCG Humanbomb
RZR Fuudo,2-0,R/Kappa Poongko
MCZ Mago,2-0,G.Y.R.O
RZR RB,2-0,QiuQiuKOF
RZR Itabashi,2-0,YBK Shiro
AVM Gamerbee,2-0,R/Kappa Poongko
YBK Kim1234,2-0,G.Y.R.O
Douyu Qanba Xiaohai,2-1,MCZ Daigo
Kazunoko,2-1,RZR Xian
AVM Gamerbee,2-0,YBK Kim1234
MCZ Tokido,2-0,R/kappa Infiltration
MCZ Mago,2-0,RZR Fuudo
MCZ Daigo,2-0,RZR RB
RZR Xian,2-0,AVM Gamerbee
R/kappa Infiltration,2-0,RZR Itabashi
EG Momochi,2-0,RZR Fuudo
Douyu Qanba Xiaohai,3-2,Kazunoko
MCZ Mago,3-0,MCZ Tokido
MCZ Daigo,3-0,RZR Xian
EG Momochi,3-0,R/kappa Infiltration
MCZ Mago,3-0,Douyu Qanba Xiaohai
MCZ Tokido,3-0,MCZ Daigo
Kazunoko,3-0,EG Momochi
MCZ Tokido,3-0,Kazunoko
MCZ Tokido,3-0,Douyu Qanba Xiaohai
MCZ Mago,3-0,MCZ Tokido
