winner,rounds,loser
LI Joe,2-1,Gonzales
30f|Street11,2-1,CDV|Will2Pac
MCZ|Mago,2-0,CEO|Jebailey
/r/Kappa|KojiKOG,2-1,F99|Tim
YBK|Santarouman,2-1,Nekromantik187
EG|K-Brad,2-1,TLC|Saga
Rockpon,2-0,KDIT|Ren
Kai,,CORN|Alucard
XsK Samurai,2-0,Eita
DL|FourWude,2-1,Kreymore
Jayce the Ace,2-0,Tempo|NYChrisG
Brentt,2-0,Vivi
HydeBuffy,2-0,UG|DJVest
F2G|Matos,2-1,Kokujin
RB|Valmaster,2-0,BJ Unchained
Bonchan,2-1,SD|Pnoy
Gonzales,,Booker
Filipinoman,2-0,VGP|Integra
Kelvin Jeon,2-0,Buktooth
Dogura,2-0,NB|Souji
DM|Willpower,2-1,Kamoshio
Kindevu,2-0,Jewelman
Damdai,2-1,Snafoo
/r/Kappa|Poongko,2-0,GG|Onisan
MOV,2-0,/r/Kappa|Alex Myers
Liquid|NuckleDu,2-0,fLoE
MOV,2-0,TSC|Sanford Kelly
Gachikun,2-1,CoinUp|Ludovic
/r/Kappa|Poongko,2-0,VS|BigFool
MOV,2-0,CCG|LapChi
GG|Onisan,2-1,VS|BigFool
CCG|LapChi,,/r/Kappa|Alex Myers
El Cubano Loco,2-1,MLSwear
BCW|Blaqskillz,2-1,EG|ChocoBlanka
Haitani,2-0,Gootecks
BCW|Blaqskillz,2-1,RZR|Perfect Legend
Rico Suave,2-1,F99|Driftwood
Chris Tatarian,2-0,BE|Nemo
RZR|Itabashi Zangief,2-1,DL|Hamad
Harideshi,2-0,GoldenCen
Iansanity,2-1,UGC|Vicious
Rico Suave,2-1,pH|Crackfiend
EG|Momochi,2-0,RB|Valmaster
RZR|Fuudo,2-1,/r/Kappa|Poongko
Blockbuster Jon,,MCZ|Mago
Julio,2-0,Haitani
LU|Alex Valle,2-0,Bonchan
Infiltration,2-0,PIE|Smug
CCG|Chi-Rithy,,EG|Justin Wong
SD|Pnoy,,MCZ|Mago
YOMI|Dieminion,2-0,MD|Luffy
Kazunoko,2-1,Tonpy
MCZ|Tokido,2-0,Dr. B
Qanba|Xiao Hai,,Misse
Jayce the Ace,,YBK|Shirou
YBK|Santarouman,,DouyuTV|Dark Jiewa
HORI|Sako,2-1,Hsien Chang
ZV|Kazunoko,2-0,Cloud9
Infiltration,,PG|Filipino Champ
RZR|Fuudo,2-1,TS|Arturo Sanchez
YBK|Santarouman,,EG|Ricki Ortiz
RZR|Xian,2-1,EG|PR Balrog
Haitani,,AG|LuckyD
FGC|Pepeday,2-0,YOMI|Dieminion
Haitani,2-1,PG|Filipino Champ
Inco,,PIE|Smug
RZR|Itabashi Zangief,2-0,MD|Luffy
HORI|Sako,2-0,IND|Pro Fluke
Kiyotea,,Dogura
LU|Alex Valle,,DM|Willpower
EG|PR Balrog,,RB|Valmaster
BX3TPL|Phenom,2-0,Jayce the Ace
AiAi,,MCZ|Daigo
DL|Hamad,,EG|Justin Wong
LLL|MBR,,YBK|Shirou
Nuki,,Tonpy
Kiyotea,2-1,LU|Alex Valle
AvM|GamerBee,2-0,Qanba|Dakou
TS|Reiketsu,2-1,TS|Arturo Sanchez
Misse,,Bonchan
BrolyLegs,,Dogura
EG|PR Balrog,,Okkun
Eita,,LU|Alex Valle
TS|Reiketsu,,/r/Kappa|Poongko
EG|Momochi,2-0,RZR|Gackt
Sabohani,,YOMI|Dieminion
Latif,,Haitani
RZR|Xian,2-0,/r/Kappa|KojiKOG
MCZ|Daigo,,BrolyLegs
EG|PR Balrog,,RZR|Gackt
MCZ|Daigo,,Gachikun
Infiltration,,FA|Ryan Hart
Misse,2-0,Eita
MCZ|Daigo,2-1,Kiyotea
DL|Hamad,,IND|Pro Fluke
Kindevu,2-0,M.B.
Filipinoman,2-0,EH|Velociraptor
WFX|801 Strider,2-0,TTL|Shinba
DBKoopa,,Cooki3Monster
BegetaminB,,/r/Kappa|KojiKOG
Latif,2-0,FA|Ryan Hart
MCZ|Tokido,2-1,HORI|Sako
Kindevu,2-1,DL|Hamad
Infiltration,2-0,Chris Tatarian
MCZ|Daigo,2-0,Misse
Snake Eyez,2-1,TS|Reiketsu
EG|Momochi,2-1,RZR|Xian
Liquid|NuckleDu,2-0,RZR|Fuudo
XSK Samurai,2-0,EG|Ricki Ortiz
Filipinoman,,Wolfkrone
EG|PR Balrog,,BegetaminB
BE|Nemo,,Brentt
AvM|GamerBee,2-0,FGC|Pepeday
Filipinoman,2-0,HORI|Sako
ZV|Kazunoko,2-0,BX3TPL|Phenom
EG|PR Balrog,2-0,RZR|Fuudo
AiAi,2-0,Qanba|Xiao Hai
Kindevu,2-0,FGC|Pepeday
YBK|Santarouman,2-0,WFX|801 Strider
Latif,2-0,BX3TPL|Phenom
BE|Nemo,2-0,Chris Tatarian
Qanba|Xiao Hai,2-1,XSK Samurai
Snake Eyez,2-1,RZR|Xian
MCZ|Daigo,2-0,WFX|801 Strider
Infiltration,2-1,AvM|GamerBee
MCZ|Tokido,2-1,ZV|Kazunoko
AiAi,2-0,Liquid|NuckleDu
EG|Momochi,2-0,YBK|Santarouman
BE|Nemo,2-0,Kindevu
EG|PR Balrog,2-0,Qanba|Xiao Hai
Filipinoman,2-0,Latif
MCZ|Daigo,2-0,Snake Eyez
BE|Nemo,2-0,YBK|Santarouman
EG|PR Balrog,2-1,ZV|Kazunoko
AvM|GamerBee,2-1,MCZ|Daigo
Liquid|NuckleDu,2-0,Filipinoman
Infiltration,3-0,/r/Kappa|AiAi
EG|Momochi,3-1,MCZ|Tokido
BE|Nemo,3-2,EG|PR Balrog
AvM|GamerBee,3-1,Liquid|NuckleDu
BE|Nemo,3-2,/r/Kappa|AiAi
AvM|GamerBee,3-1,MCZ|Tokido
EG|Momochi,3-2,Infiltration
AvM|GamerBee,3-1,BE|Nemo
AvM|GamerBee,3-2,Infiltration
AvM|GamerBee,3-1,EG|Momochi
EG|Momochi,3-2,AvM|GamerBee
