winner,rounds,loser
陳政宏 BemeChen,,么么小吉吉 么么小吉吉
Lcx wh1sper,,Chenzhou
徐健 XJ,,沈鹏 Triple-K
MCZ Tokido Rank 1,,徐健 XJ
张嘉程 FAT DOG,,汪俊峰 fei-long
张嘉程 FAT DOG,,Afaliq Bin Yusof Afaliq90
Lcx wh1sper,,陳政宏 BemeChen
Chenzhou,,么么小吉吉 么么小吉吉
Chenzhou,,Afaliq Bin Yusof Afaliq90
DouyuTV | Hurtch_VR,,吴浩群 GZ维尼
DouyuTV | Hurtch_VR,,color
吴浩群 GZ维尼,2-1,徐健 XJ
陳政宏 BemeChen,,汪俊峰 fei-long
color,,沈鹏 Triple-K
Chenzhou,,color
MCZ Tokido Rank 1,,Lcx wh1sper
Lcx wh1sper,,Chenzhou
陳政宏 BemeChen,,吴浩群 GZ维尼
DouyuTV | Hurtch_VR,,张嘉程 FAT DOG
MCZ Tokido Rank 1,,DouyuTV | Hurtch_VR
陳政宏 BemeChen,,张嘉程 FAT DOG
Lcx wh1sper,,陳政宏 BemeChen
DouyuTV | Hurtch_VR,,Lcx wh1sper
何琪 HEQI0129,,马天健 Ultrakiller
SonyDaFa,,LoriChumley05 15
方思 ice,,沈艺洵 dabaipang
张尧 HaveShit,,潘权迪 RY@xiaoye
KOK Rank 9,,张尧 HaveShit
Xiaolong He Rank 8,,方思 ice
夏伟 MiNaさん,,陆祁仁 Johnny
Dante DT,,夏伟 MiNaさん
KOK Rank 9,,Dante DT
马天健 Ultrakiller,,LoriChumley05 15
何琪 HEQI0129,,SonyDaFa
沈艺洵 dabaipang,,夏伟 MiNaさん
张尧 HaveShit,,马天健 Ultrakiller
方思 ice,,陆祁仁 Johnny
SonyDaFa,,潘权迪 RY@xiaoye
Xiaolong He Rank 8,,何琪 HEQI0129
张尧 HaveShit,,沈艺洵 dabaipang
SonyDaFa,,方思 ice
KOK Rank 9,,Dante DT
何琪 HEQI0129,,张尧 HaveShit
Xiaolong He Rank 8,,KOK Rank 9
Dante DT,,SonyDaFa
何琪 HEQI0129,,Dante DT
KOK Rank 9,,何琪 HEQI0129
ChengFei,,Meo Wei meo.w
王辉 Dexter hui,,张文亮 happyport
陈佳锋 幻镜/magic mirror,,大力 3 3之神大力
Vincent,,Dylan Campbell dcampb
倪康 Duang,,鲁俊 水表
Meo Wei meo.w,,鲁俊 水表
Dylan Campbell dcampb,,大力 3 3之神大力
王辉 Dexter hui,,chenxin gouzi
沈震宇 凶肯,,施晓波 820821
陈佳锋 幻镜/magic mirror,,Vincent
Vincent,,施晓波 820821
Douyu Qanba Xiaohai Rank 4,,沈震宇 凶肯
陈佳锋 幻镜/magic mirror,,王辉 Dexter hui
ChengFei,,倪康 Duang
倪康 Duang,,张文亮 happyport
沈震宇 凶肯,,Dylan Campbell dcampb
倪康 Duang,,沈震宇 凶肯
chenxin gouzi,,Meo Wei meo.w
chenxin gouzi,,Vincent
王辉 Dexter hui,,倪康 Duang
Douyu Qanba Xiaohai Rank 4,,ChengFei
Douyu Qanba Xiaohai Rank 4,,陈佳锋 幻镜/magic mirror
ChengFei,,chenxin gouzi
ChengFei,,王辉 Dexter hui
ChengFei,,陈佳锋 幻镜/magic mirror
SNAKE,2-0,张琦 xiyiji
Han Fengshui,,SNAKE
Jojo,4-0,冯云龙 elaialong
DouyuTV | Abang,,白莽 孤高的双子座英雄
黄之均 MUSTARDAY2,,陈冕 福州 | 史莱姆
RZR Fuudo Rank 5,,黄之均 MUSTARDAY2
Jojo,,NoahSpencer84 19
SNAKE,,陈冕 福州 | 史莱姆
白莽 孤高的双子座英雄,,NoahSpencer84 19
黄之均 MUSTARDAY2,,张琦 xiyiji
黄之均 MUSTARDAY2,,白莽 孤高的双子座英雄
DouyuTV | Abang,,Chris Tweten ctwtn
Chris Tweten ctwtn,,冯云龙 elaialong
SNAKE,,Chris Tweten ctwtn
DouyuTV | Abang,,Han Fengshui
Han Fengshui,,黄之均 MUSTARDAY2
RZR Fuudo Rank 5,,Jojo
RZR Fuudo Rank 5,,DouyuTV | Abang
SNAKE,,Jojo
SNAKE,,Han Fengshui
DouyuTV | Abang,,SNAKE
梁伟知 TodayCEO,,徐云龙 ShinXCloud
章毅骏 阿骏,,张琦 xiyiji
刘斌 Sandro,,郑凯 znk
赵渭炯 小迷,,孙子隆 kimoji
RZR Xian Rank 2,,梁伟知 TodayCEO
IlseNewton 19,,Ah Xi
赵渭炯 小迷,,IlseNewton 19
郑诚 Lutak,,TuyetMiles9 22
ab ab,,章毅骏 阿骏
徐云龙 ShinXCloud,,IlseNewton 19
郑凯 znk,,TuyetMiles9 22
孙子隆 kimoji,,Ah Xi
梁伟知 TodayCEO,,孙子隆 kimoji
刘斌 Sandro,,郑诚 Lutak
郑诚 Lutak,,张琦 xiyiji
梁伟知 TodayCEO,,郑诚 Lutak
ab ab,,赵渭炯 小迷
RZR Xian Rank 2,,刘斌 Sandro
