winner,rounds,loser
SCC | Lark0,,Tekkon
StarkillerShane,2-0,Marcher29
CeX | Goukifafa,2-1,ikimashouu
Adzi,,ED | Mantis
blag,,pmcc
Downbackbro,2-1,Archangel
ED | The Claw Of God,2-1,S1ngho
PND | i2 Gaug3,,cheese
RDE | SDDowns,,deibu
MBA | Sono,,One2remember80
SFF | Goshtin,,Legend of Negro
VS | The Janitor,2-1,harpzx007
MBA | Dread,,Jwoods
MD | Luffy,2-0,SCC | Lark0
RH | F4RHANN,,Noodles
VwS | LOM J.Miller,2-0,StarkillerShane
CeX | Goukifafa,2-1,NFGC | CarnagePrincess
RIZE | IND Boltstrike,2-1,Adzi
blag,2-0,SMBF | COGS Quora
Packz,2-1,Downbackbro
ED | The Claw Of God,2-1,SWW | BaconJacob
Battle Tiger | UM Isam,2-0,PND | i2 Gaug3
SFO | WhoShabzThisIs,2-1,DS | Gutsy
LOM | Wiseblade,2-1,RDE | SDDowns
Fi3nD x GODMODE,2-0,MBA | Sono
BTM | GuN SLinGa,2-0,SFF | Goshtin
Clangers,2-0,Radirgy
VS | The Janitor,2-1,SFO | Savant
SWW | Axythetaxi,2-1,MBA | Dread
VS | The Janitor,2-1,SWW | Axythetaxi
BTM | GuN SLinGa,2-1,Clangers
BTM | GuN SLinGa,2-1,VS | The Janitor
LOM | Wiseblade,2-1,Fi3nD x GODMODE
Battle Tiger | UM Isam,2-1,SFO | WhoShabzThisIs
Packz,2-1,ED | The Claw Of God
RIZE | IND Boltstrike,2-1,blag
Packz,2-1,RIZE | IND Boltstrike
VwS | LOM J.Miller,2-1,CeX | Goukifafa
MD | Luffy,2-1,RH | F4RHANN
MD | Luffy,2-1,VwS | LOM J.Miller
MBA | Dread,2-1,Tekkon
MBA | Dread,2-1,SFO | Savant
Marcher29,2-1,Radirgy
ikimashouu,2-1,SFF | Goshtin
MBA | Sono,,ED | Mantis
RDE | SDDowns,,pmcc
RDE | SDDowns,2-1,MBA | Sono
CeX | Goukifafa,2-1,RDE | SDDowns
DS | Gutsy,2-1,Archangel
S1ngho,2-1,PND | i2 Gaug3
S1ngho,2-1,DS | Gutsy
RH | F4RHANN,2-1,S1ngho
SWW | BaconJacob,,cheese
SWW | BaconJacob,2-1,Downbackbro
SWW | BaconJacob,2-1,SWW | Axythetaxi
SMBF | COGS Quora,2-1,deibu
Adzi,,One2remember80
Adzi,2-1,SMBF | COGS Quora
Clangers,2-1,Adzi
NFGC | CarnagePrincess,,Legend of Negro
NFGC | CarnagePrincess,2-1,StarkillerShane
Fi3nD x GODMODE,2-1,NFGC | CarnagePrincess
Noodles,2-1,harpzx007
SCC | Lark0,2-1,Jwoods
Noodles,2-1,SCC | Lark0
Battle Tiger | UM Isam,2-1,LOM | Wiseblade
ikimashouu,2-1,Marcher29
