winner,rounds,loser
Voltrix,,Stekoh
Jiewa,,Voltrix
Abelity,,Kenneth
Bryan,,dikdik
FV Bison Wong,,Sketch
Jiewa,,Abelity
FV Bison Wong,,Bryan
Jiewa,,FV Bison Wong
Stekoh,,Sketch
Stekoh,,dikdik
Voltrix,,Kenneth
Stekoh,,Abelity
Bryan,,Voltrix
Stekoh,,Bryan
Stekoh,,FV Bison Wong
Leong Teng Fai,,anotheryou
Itabashi Zangief,,Leong Teng Fai
AcidRock,,Bon Weiu
KOK,,Shazli
Leslie,,SukTuck
KOK,,Leslie
Itabashi Zangief,,AcidRock
Itabashi Zangief,,KOK
SukTuck,,anotheryou
SukTuck,,Shazli
Leong Teng Fai,,Bon Weiu
SukTuck,,AcidRock
Leslie,,Leong Teng Fai
Leslie,,SukTuck
Leslie,,KOK
Haw Seow,,Nigel Lee
Fitri Amir,,Renzuo
Bram,,Taitsu
SiLG@Battousa,,Blackcus
TONPY,,Haw Seow
Fitri Amir,,Bram
Nigel Lee,,Renzuo
Blackcus,,Haw Seow
TONPY,,SiLG@Battousa
Taitsu,,Nigel Lee
Bram,,Blackcus
SiLG@Battousa,,Taitsu
TONPY,,Fitri Amir
SiLG@Battousa,,Bram
SiLG@Battousa,,Fitri Amir
PeanutRyu,,Suryan Nair
YBK Shiro,,PeanutRyu
RinDa Wan,,G.Y.R.O
Suryan Nair,,G.Y.R.O
Max Ng,,Zeal
SiLG@St,,Dianminion
PeanutRyu,,Zeal
Max Ng,,YBK Shiro
SiLG@St,,RinDa Wan
Dianminion,,Suryan Nair
PeanutRyu,,RinDa Wan
SiLG@St,,Max Ng
YBK Shiro,,Dianminion
YBK Shiro,,PeanutRyu
YBK Shiro,,Max Ng
Two75,,Terry Kok
Scott K Wai Kit,,FV Edwin
Eugene Yap,,AldenTeoh
RZR Gackt,,Jafar
Bonchan,,Two75
AldenTeoh,,Terry Kok
RZR Gackt,,Eugene Yap
AldenTeoh,,Jafar
Two75,,FV Edwin
Bonchan,,Scott K Wai Kit
Eugene Yap,,Two75
Scott K Wai Kit,,AldenTeoh
Scott K Wai Kit,,Eugene Yap
Bonchan,,RZR Gackt
RZR Gackt,,Scott K Wai Kit
SiLG@Shaun,,FV Sangbubu
Gonzales,,Jonathan Swee
Kevin Lee,,Azrul
GL | Saunic,,SiLG@Shaun
YBK Kim1234,,WahLau
SiLG@Shaun,,Jonathan Swee
YBK Kim1234,,Kevin Lee
Azrul,,FV Sangbubu
Gonzales,,GL | Saunic
WahLau,,Azrul
SiLG@Shaun,,Kevin Lee
GL | Saunic,,WahLau
Gonzales,,YBK Kim1234
SiLG@Shaun,,GL | Saunic
YBK Kim1234,,SiLG@Shaun
CCG | Humanbomb,,FV TKC
keane_hi,,Vinness Ho
RV_Raihan,,Shahril Harith
FV TKC,,Shahril Harith
Koji Miyake,,Greateacher
Greateacher,,Vinness Ho
Koji Miyake,,keane_hi
CCG | Humanbomb,,RV_Raihan
keane_hi,,FV TKC
Koji Miyake,,CCG | Humanbomb
RV_Raihan,,Greateacher
RV_Raihan,,keane_hi
CCG | Humanbomb,,RV_Raihan
Tommy Chiam,,AO3
Koh Kok Sun,,Dr Rock
RZR | RB,,FV Mark
Dr Rock,,AO3
RZR | RB,,Tommy Chiam
Chuan,,Koh Kok Sun
FV Mark,,Dr Rock
SiLG@Duncan,,Leon Lum
Chuan,,SiLG@Duncan
SiLG@Duncan,,FV Mark
Leon Lum,,Koh Kok Sun
RZR | RB,,Chuan
Leon Lum,,Tommy Chiam
SiLG@Duncan,,Leon Lum
Chuan,,SiLG@Duncan
YBK Shiro,,SiLG@Battousai
RZR Gackt,,YBK Kim1234
Leslie,,Stekoh
Chuan,,CCG | Humanbomb
Itabashi Zangief,,Jiewa
Koji Miyake,,RZR | RB
Tonpy,,SiLG@Stanick
Bonchan,,Gonzales
Chuan,,Jiewa
Leslie,,RZR | RB
Gonzales,,YBK Shiro
RZR Gackt,,SiLG@Stanick
Itabashi Zangief,,Tonpy
Bonchan,,Koji Miyake
Leslie,,Gonzales
RZR Gackt,,Chuan
Tonpy,,Leslie
RZR Gackt,,Koji Miyake
Bonchan,,Itabashi Zangief
RZR Gackt,,Tonpy
Itabashi Zangief,,RZR Gackt
Bonchan,,Itabashi Zangief
