winner,rounds,loser
Jiewa Seed1,2-0,kendofox
阿光,2-0,Blue
龜仙人,2-0,YANYAN(Japan)
David Shen,2-0,RM9
Reiketsu (Japan),2-0,丫合
可樂ヤン,2-0,FAKE HD
HitBox Rose,2-0,孟澤
NEGATOR,2-0,Reco
Jiewa Seed1,2-0,阿光
David Shen,2-0,龜仙人
Reiketsu (Japan),2-0,可樂ヤン
HitBox Rose,2-0,NEGATOR
Jiewa Seed1,2-0,David Shen
Reiketsu (Japan),2-0,HitBox Rose
Reiketsu (Japan),2-0,Jiewa Seed1
Blue,2-0,kendofox
RM9,2-0,YANYAN(Japan)
丫合,2-0,FAKE HD
孟澤,2-0,Reco
NEGATOR,2-0,Blue
可樂ヤン,2-0,RM9
龜仙人,2-0,丫合
阿光,,孟澤
可樂ヤン,2-0,NEGATOR
龜仙人,2-0,阿光
可樂ヤン,2-0,David Shen
HitBox Rose,2-0,龜仙人
HitBox Rose,2-0,可樂ヤン
Jiewa Seed1,2-0,HitBox Rose
Reiketsu (Japan),2-0,Jiewa Seed1
Inco Seed8,2-0,Ares016
TKD,2-0,餃子
Sulabee,2-0,內子宮崎葵
ET,2-0,chen陳振銘
RZR RB Seed9,2-0,PomPom
小武,2-0,Jian Hua
Zalk,2-0,島主
stormkubo(Japan),2-0,Kerick
Ares016,2-0,餃子
chen陳振銘,2-0,內子宮崎葵
Jian Hua,2-0,PomPom
島主,2-0,Kerick
Inco Seed8,2-0,TKD
ET,2-0,Sulabee
RZR RB Seed9,2-0,小武
stormkubo(Japan),2-0,Zalk
Ares016,2-0,Zalk
小武,2-0,chen陳振銘
Sulabee,2-0,Jian Hua
TKD,2-0,島主
Inco Seed8,2-0,ET
stormkubo(Japan),2-0,RZR RB Seed9
Ares016,2-0,小武
TKD,2-0,Sulabee
stormkubo(Japan),2-0,Inco Seed8
ET,2-0,Ares016
RZR RB Seed9,2-0,TKD
RZR RB Seed9,2-0,ET
Inco Seed8,2-0,RZR RB Seed9
stormkubo(Japan),2-0,Inco Seed8
KOG Seed3,2-0,applemouse
Sketch(USA),2-0,Winhow.jung
Giezoe,2-0,娃娃
清哥,2-0,Lin先生
Codynp Seed12,2-0,Minos
kuraudokin,2-0,Kilink/KK
BEN-NU,2-0,Tim
小康,2-0,Xmen007(Hong Kong)
Sketch(USA),2-0,KOG Seed3
Giezoe,2-0,清哥
Codynp Seed12,2-0,kuraudokin
BEN-NU,2-0,Jnana
Winhow.jung,2-0,applemouse
Lin先生,2-0,娃娃
Minos,2-0,Kilink/KK
Tim,2-0,Xmen007(Hong Kong)
Jnana,2-0,Winhow.jung
Lin先生,2-0,kuraudokin
Minos,2-0,清哥
KOG Seed3,2-0,Tim
Sketch(USA),2-0,Giezoe
BEN-NU,2-0,Codynp Seed12
Jnana,2-0,Lin先生
Minos,2-0,KOG Seed3
Sketch(USA),2-0,BEN-NU
Giezoe,2-0,Jnana
Codynp Seed12,2-0,Minos
Codynp Seed12,2-0,Giezoe
Codynp Seed12,2-0,BEN-NU
Sketch(USA),2-0,Codynp Seed12
Italian a Seed4,2-0,David Copperfield
TOBY LIN,2-0,OHDOMAI
KUMASA,2-0,Hua0915
小捷,2-0,吉米
Gonzales Seed13,2-0,謝漢傑
ssvs-Allen,2-0,reco子親愛的
豪鬼王/Tomy Huang,2-0,eltrouble
阿德,2-0,格雷特
Italian a Seed4,2-0,TOBY LIN
