winner,rounds,loser
akimoto akimo,,Japhk
Bosco Bosmoko,2-0,Bryant Chan bCHAN-hk47
Chow Chin Pang XFT_Baoice,2-0,黄祥 Been Gor
谢文斌 dudu,,Ken Yeung kenyeung
著名旅游玩家SKY,2-1,Hui Chun Hin XFT-MusicWizard
Chow Chin Pang XFT_Baoice,2-0,akimoto akimo
薛國斌 wo鵝鵝澳•餓痾澳，我比豬腰你聞,,Anthony bluesy
Summer XFT_Summer,,何文泉 中山泉仔
Bryant Chan bCHAN-hk47,,Ken Yeung kenyeung
何文泉 中山泉仔,,Hui Chun Hin XFT-MusicWizard
谢文斌 dudu,2-1,Bosco Bosmoko
akimoto akimo,,Bryant Chan bCHAN-hk47
Summer XFT_Summer,,著名旅游玩家SKY
黄祥 Been Gor,2-1,Japhk
Anthony bluesy,,著名旅游玩家SKY
INFILTRATION Seed 1,2-0,薛國斌 wo鵝鵝澳•餓痾澳，我比豬腰你聞
薛國斌 wo鵝鵝澳•餓痾澳，我比豬腰你聞,,何文泉 中山泉仔
黄祥 Been Gor,2-0,Bosco Bosmoko
akimoto akimo,2-0,薛國斌 wo鵝鵝澳•餓痾澳，我比豬腰你聞
黄祥 Been Gor,2-0,Anthony bluesy
INFILTRATION Seed 1,2-0,Chow Chin Pang XFT_Baoice
谢文斌 dudu,2-0,Summer XFT_Summer
akimoto akimo,2-0,Summer XFT_Summer
INFILTRATION Seed 1,2-0,谢文斌 dudu
Chow Chin Pang XFT_Baoice,,黄祥 Been Gor
Chow Chin Pang XFT_Baoice,,akimoto akimo
Chow Chin Pang XFT_Baoice,2-0,谢文斌 dudu
YBK Shiro Seed 8,2-1,Robert Dunne Saor
拳霸斗鱼大口 Seed 9,2-0,Billy Wong Billy
黃勇 RC,2-0,XFT JIN TAI XFT JIN TAI
谭飞 Fei,2-1,Wong Wai Tak Steve Wong
Kenny Kenny,,LEE CHUN HO LEE
Daiki Matsubara So,,Auto Au Auto
邓志聪 dUnk,2-1,LEE HO LUN The Killer
YBK Shiro Seed 8,,Wong Wai Tak Steve Wong
邬可夫 阿修,,刘锦发 ChiLunsin
Wong Wai Tak Steve Wong,2-0,Robert Dunne Saor
XFT JIN TAI XFT JIN TAI,2-0,LEE CHUN HO LEE
黃勇 RC,,Kenny Kenny
邓志聪 dUnk,2-0,Daiki Matsubara So
Daiki Matsubara So,2-0,Wong Wai Tak Steve Wong
LEE HO LUN The Killer,,Auto Au Auto
YBK Shiro Seed 8,2-0,谭飞 Fei
谭飞 Fei,,LEE HO LUN The Killer
Billy Wong Billy,2-1,邬可夫 阿修
拳霸斗鱼大口 Seed 9,2-1,刘锦发 ChiLunsin
Billy Wong Billy,,Kenny Kenny
YBK Shiro Seed 8,2-0,黃勇 RC
谭飞 Fei,2-1,Billy Wong Billy
刘锦发 ChiLunsin,,XFT JIN TAI XFT JIN TAI
拳霸斗鱼大口 Seed 9,2-0,邓志聪 dUnk
刘锦发 ChiLunsin,,Daiki Matsubara So
YBK Shiro Seed 8,2-1,拳霸斗鱼大口 Seed 9
谭飞 Fei,2-0,邓志聪 dUnk
刘锦发 ChiLunsin,,黃勇 RC
谭飞 Fei,2-1,刘锦发 ChiLunsin
拳霸斗鱼大口 Seed 9,,谭飞 Fei
RAY,,+DQ+
林諾勤 Kennklam,2-0,Gala Tse Dabugala
Gala Tse Dabugala,,+DQ+
Po Yuen Chan XFT_Nana,,章毅骏 屠JO奇
wong hin chung saisak,,AlfredoEdwards 25 AlfredoEdwards
Kung sai kit XFT_saiki,,joe Chau jeono
Rzr RB Seed 13,2-0,Small Tom 細Tommy
wong ho ching river,,NiceBlock skenming
章毅骏 屠JO奇,,NiceBlock skenming
Small Tom 細Tommy,,joe Chau jeono
Misse Seed 4,2-0,张翔渝 Freeman
RAY,2-1,林諾勤 Kennklam
张翔渝 Freeman,,AlfredoEdwards 25 AlfredoEdwards
wong ho ching river,2-0,Po Yuen Chan XFT_Nana
Rzr RB Seed 13,2-0,Kung sai kit XFT_saiki
Misse Seed 4,2-0,wong hin chung saisak
林諾勤 Kennklam,2-1,Small Tom 細Tommy
Kung sai kit XFT_saiki,2-1,Gala Tse Dabugala
Po Yuen Chan XFT_Nana,2-1,张翔渝 Freeman
Misse Seed 4,2-0,RAY
wong hin chung saisak,,章毅骏 屠JO奇
Po Yuen Chan XFT_Nana,2-0,Kung sai kit XFT_saiki
Rzr RB Seed 13,2-0,wong ho ching river
wong hin chung saisak,2-0,林諾勤 Kennklam
Misse Seed 4,,Rzr RB Seed 13
wong ho ching river,2-0,wong hin chung saisak
Po Yuen Chan XFT_Nana,2-0,RAY
Po Yuen Chan XFT_Nana,2-0,wong ho ching river
Rzr RB Seed 13,2-1,Po Yuen Chan XFT_Nana
Tonpy Seed 5,2-0,Leung Philip Yu Fat Philip Leung
Codyp Seed 11,,Choi Chak Choi Chak GS Base 10/hr
LEE G.Y.R.O,2-0,wong tin pui Shiro Fans
Lai Chun Wai Neverdiewai,,yy 管家仔
何浩华 GZ.Roadman,2-0,kwok sui tak barrytak
christopher lo GreenBoxer,,yip kai cheong barlowlism
Isaac Chan Panda,,AuroraKillian 13 AuroraKillian
Leung Philip Yu Fat Philip Leung,,yy 管家仔
wong tin pui Shiro Fans,,AuroraKillian 13 AuroraKillian
kwok sui tak barrytak,,yip kai cheong barlowlism
LEE G.Y.R.O,,Isaac Chan Panda
陈俊宇 藏人,2-0,XFT_FIRE XFT_FIRE
XFT_FIRE XFT_FIRE,,Choi Chak Choi Chak GS Base 10/hr
Leung Philip Yu Fat Philip Leung,,Isaac Chan Panda
Tonpy Seed 5,2-0,Lai Chun Wai Neverdiewai
何浩华 GZ.Roadman,2-0,christopher lo GreenBoxer
Codyp Seed 11,2-0,陈俊宇 藏人
christopher lo GreenBoxer,2-0,XFT_FIRE XFT_FIRE
wong tin pui Shiro Fans,2-0,Lai Chun Wai Neverdiewai
Codyp Seed 11,2-1,LEE G.Y.R.O
kwok sui tak barrytak,2-1,陈俊宇 藏人
christopher lo GreenBoxer,2-0,wong tin pui Shiro Fans
Tonpy Seed 5,2-0,何浩华 GZ.Roadman
Leung Philip Yu Fat Philip Leung,2-1,kwok sui tak barrytak
Codyp Seed 11,2-0,Tonpy Seed 5
何浩华 GZ.Roadman,2-0,Leung Philip Yu Fat Philip Leung
LEE G.Y.R.O,2-0,christopher lo GreenBoxer
LEE G.Y.R.O,2-1,何浩华 GZ.Roadman
Tonpy Seed 5,2-1,LEE G.Y.R.O
