winner,rounds,loser
ANBU sonyono,,EG Ricki Ortiz
YOMI Dieminion,,Derrick Legend
PIE Smug,,Cuby
Zaferino,,WFX 801 Strider
BX3 SideLines Phenom,,RIG ElChakotay
brenttiscool,,Raj Obee
Tempo ChrisG,,RemyBleu
EG K-BRAD,,Italdan
RB Snake Eyez,,PAG DragonGod
Liquid Nuckledu,,0ctopus0nfire
DCB Dark Child,,MOB Slim
PG Coach Steve,,OG Shine
A-Team PAG NE Glitch,,DojoGaming Velociraptor
YOMI Joel,,AG LuckyD
F3 Alucard,,Julio
Problem X,,PAG Sabo
Italdan,,RemyBleu
WFX 801 Strider,2-0,Cuby
EG Ricki Ortiz,2-0,Derrick Legend
DCB Dark Child,,PG Coach Steve
BX3 SideLines Phenom,2-1,brenttiscool
YOMI Dieminion,2-0,ANBU sonyono
DojoGaming Velociraptor,2-1,AG LuckyD
RIG ElChakotay,2-0,Raj Obee
RIG ElChakotay,,PG Coach Steve
OG Shine,2-0,MOB Slim
Julio,2-0,PAG Sabo
Zaferino,2-1,PIE Smug
EG K-BRAD,2-1,Tempo ChrisG
PAG DragonGod,2-0,0ctopus0nfire
Julio,2-1,ANBU sonyono
DojoGaming Velociraptor,2-0,PIE Smug
brenttiscool,2-0,OG Shine
RB Snake Eyez,2-1,Liquid Nuckledu
Julio,2-0,DojoGaming Velociraptor
Liquid Nuckledu,2-0,Italdan
YOMI Joel,2-0,A-Team PAG NE Glitch
Problem X,2-0,F3 Alucard
F3 Alucard,2-0,EG Ricki Ortiz
WFX 801 Strider,2-0,A-Team PAG NE Glitch
RIG ElChakotay,2-0,Liquid Nuckledu
EG K-BRAD,2-0,BX3 SideLines Phenom
Tempo ChrisG,2-0,PAG DragonGod
RB Snake Eyez,2-0,DCB Dark Child
WFX 801 Strider,2-1,F3 Alucard
Julio,2-0,DCB Dark Child
brenttiscool,2-0,Tempo ChrisG
YOMI Joel,2-0,Problem X
YOMI Dieminion,2-0,Zaferino
Problem X,2-0,brenttiscool
Zaferino,2-0,RIG ElChakotay
BX3 SideLines Phenom,2-1,WFX 801 Strider
YOMI Dieminion,3-1,EG K-BRAD
RB Snake Eyez,3-0,YOMI Joel
BX3 SideLines Phenom,3-1,Zaferino
Problem X,3-0,Julio
Problem X,3-0,EG K-BRAD
YOMI Dieminion,3-0,RB Snake Eyez
BX3 SideLines Phenom,3-2,YOMI Joel
BX3 SideLines Phenom,3-0,Problem X
RB Snake Eyez,3-1,BX3 SideLines Phenom
RB Snake Eyez,3-0,YOMI Dieminion
YOMI Dieminion,3-1,RB Snake Eyez
