winner,rounds,loser
Dark Jiewa,,IPT.Garret
Gonzales,,NISHIKIN
CCG.Humanbomb,,Ikatsui Yarou
r/Kappa.stormKUBO,,DouYuTV.GodOfSky
Tonpy,,James
Kim1234,,Keno
Dark Jiewa,2-0,Gonzales
CCG.Humanbomb,2-0,r/Kappa.stormKUBO
Reiketsu,2-0,IPT.Dru
Tonpy,2-0,Kim1234
ItabashiZangief,2-0,Chuan
NISHIKIN,2-0,IPT.Garret
DouYuTV.GodOfSky,2-1,Ikatsui Yarou
ItabashiZangief,2-0,Gonzales
Keno,2-1,James
DouYuTV.GodOfSky,2-0,Kim1234
r/Kappa.stormKUBO,2-1,Keno
NISHIKIN,2-0,IPT.Dru
Tonpy,3-2,Reiketsu
CCG.Humanbomb,3-1,Dark Jiewa
NISHIKIN,3-2,DouYuTV.GodOfSky
ItabashiZangief,3-2,r/Kappa.stormKUBO
NISHIKIN,3-1,Dark Jiewa
Reiketsu,3-1,ItabashiZangief
Tonpy,3-0,CCG.Humanbomb
NISHIKIN,3-1,Reiketsu
CCG.Humanbomb,3-2,NISHIKIN
CCG.Humanbomb,3-1,Tonpy
Tonpy,3-1,CCG.Humanbomb
