winner,rounds,loser
Ifrit,,R-18 Hand Holding
Amaury,,Taxto
Haizek,,Blanco Negro
Haizek,,Amaury
R-18 Hand Holding,,Blanco Negro
Blazing,,prDrakwolf
Snake Eyez,,Ifrit
Snake Eyez,,Blazing
Taxto,,R-18 Hand Holding
Ifrit,,prDrakwolf
Haizek,,Snake Eyez
Amaury,,Ifrit
Blazing,,Taxto
Snake Eyez,,Haizek
Blazing,,Amaury
Haizek,,Blazing
Snake Eyez,,Haizek
Nexon,,DPGL MenaRD
Goldman,,IG | Bole
BRZ Rattosai,,Gibran
FGR TS | MuraRob,,ELPR | TKD Wolf
ELPR | TKD Wolf,,DPGL MenaRD
PRK Benji,,BRZ Rattosai
Gibran,,IG | Bole
BRZ Rattosai,,ELPR | TKD Wolf
Kreymore,,Nexon
Gibran,,Nexon
PRK Benji,,FGR TS | MuraRob
Goldman,,Kreymore
Kreymore,,BRZ Rattosai
Gibran,,FGR TS | MuraRob
Kreymore,,Gibran
Goldman,,PRK Benji
Kreymore,,PRK Benji
Goldman,,Kreymore
Solrac Naej,,Hugo-Andore
Ang3lit0pr,,OD|Dbiohazard
M. Crash,,MSD Xavi
Yeral,,Ang3lit0pr
Liquid`NuckleDu,,Solrac Naej
Zoke16,,IG | Legendario Drak
MSD Xavi,,Ang3lit0pr
IG | Legendario Drak,,Hugo-Andore
Solrac Naej,,MSD Xavi
EVB DS Ray,,M. Crash
M. Crash,,OD|Dbiohazard
Liquid`NuckleDu,,Yeral
EVB DS Ray,,Zoke16
M. Crash,,IG | Legendario Drak
Liquid`NuckleDu,,EVB DS Ray
Yeral,,M. Crash
Solrac Naej,,Zoke16
Solrac Naej,,Yeral
EVB DS Ray,,Solrac Naej
Liquid`NuckleDu,,EVB DS Ray
Tacaño2dGod,,PMP RevoStylez
Kenneth Hernandez,,FGErizu
SeeDogPoo,,Dranor
ShadowChild,,Kenneth Hernandez
EX Pugera,,Tacaño2dGod
PRK Crank,,Goku
Dranor,,FGErizu
Ranmasama,,PRK Crank
Tacaño2dGod,,Goku
PRK Crank,,PMP RevoStylez
PRK Crank,,Kenneth Hernandez
Dranor,,Tacaño2dGod
ShadowChild,,Ranmasama
EX Pugera,,SeeDogPoo
Ranmasama,,Dranor
PRK Crank,,SeeDogPoo
EX Pugera,,ShadowChild
Ranmasama,,PRK Crank
Ranmasama,,ShadowChild
EX Pugera,,Ranmasama
JAPPA,,Colonel Suave
RR | Mr Gork,,Flan
Spawn,,Raxory.PR
WFX | 801 Strider,,JAPPA
GODZILLA,,4bidden
RR | Mr Gork,,Olivo
PRK Famous,,Spawn
GODZILLA,,The Steam Co| Bacardi
Raxory.PR,,Olivo
GODZILLA,,RR | Mr Gork
WFX | 801 Strider,,PRK Famous
WFX | 801 Strider,,GODZILLA
Flan,,Spawn
The Steam Co| Bacardi,,Colonel Suave
4bidden,,JAPPA
The Steam Co| Bacardi,,Raxory.PR
Flan,,4bidden
PRK Famous,,The Steam Co| Bacardi
RR | Mr Gork,,Flan
PRK Famous,,RR | Mr Gork
PRK Famous,,GODZILLA
WFX | 801 Strider,,PRK Famous
IG | Zonvolt,,Legendary Mako
SA Justice,,Yeison
WizLife69,,Boti
UVG | Noel Brown,,SA Justice
TEMPO | Chris G,,IG | Zonvolt
IG | Zonvolt,,Yeison
Cocaneta,,WizLife69
Cocaneta,,UVG | Noel Brown
Honda Tropical,,DR Sharpy
