winner,rounds,loser
DBC,,Final Tick
Pokchop,,DBC
Shotty,,highlevelnovice
Shotty,,Pokchop
DCB|Afterdeath,,Silent Hero
SRD|Blahblah,,Flex Negative
DCB|Afterdeath,,SRD|Blahblah
Shotty,,DCB|Afterdeath
Final Tick,,Flex Negative
DBC,,highlevelnovice
DBC,,SRD|Blahblah
Final Tick,,Silent Hero
Pokchop,,Final Tick
Pokchop,,DBC
DCB|Afterdeath,,Pokchop
RB | Snake Eyez,,OC 919
Prototype,,Max'D Out
RB | Snake Eyez,,Prototype
YOMI Kush,,ANBU bpOILspill
Engravings,,SilentNova
YOMI Kush,,Engravings
RB | Snake Eyez,,YOMI Kush
OC 919,,Max'D Out
SilentNova,,ANBU bpOILspill
Engravings,,OC 919
Prototype,,SilentNova
Engravings,,Prototype
YOMI Kush,,Engravings
Wave ~ Foomy,,Xero
Wave ~ Foomy,,D.Veritas
RedNinja,,Wagahai
Wave ~ Foomy,,RedNinja
Dr. Atomic,,DWE | McBae
XDSC-KNOWLEDGE,,Dr. Atomic
HadoukenMD,,Gungnir
HadoukenMD,,XDSC-KNOWLEDGE
Wave ~ Foomy,,HadoukenMD
Xero,,Gungnir
Wagahai,,DWE | McBae
Wagahai,,D.Veritas
Xero,,Dr. Atomic
Xero,,RedNinja
XDSC-KNOWLEDGE,,Wagahai
Xero,,XDSC-KNOWLEDGE
HadoukenMD,,Xero
MOB| Princess Slim,,Rick Masters
j8slim,,EOG Rico
WFX|801 Strider,,MOB| Princess Slim
CTRL | Unkn0wn,,tombsTone
PIE Smug,,CTRL | Unkn0wn
Red_Panda_0bjection,,Reiji
WFX|801 Strider,,j8slim
PIE Smug,,Red_Panda_0bjection
WFX|801 Strider,,PIE Smug
Rick Masters,,Reiji
EOG Rico,,tombsTone
CTRL | Unkn0wn,,Rick Masters
MOB| Princess Slim,,EOG Rico
CTRL | Unkn0wn,,j8slim
MOB| Princess Slim,,Red_Panda_0bjection
MOB| Princess Slim,,CTRL | Unkn0wn
PIE Smug,,MOB| Princess Slim
NoelBHungry,,ANBU_MrFrayFray
BOTB Tampa Bison,,NoelBHungry
RedPanda Knuckledust,,HOLD DAT L
BOTB Tampa Bison,,RedPanda Knuckledust
aimforthefeet,,L4
FSM Spabobin,,Dark Mavid
Kuraudo,,aimforthefeet
FSM Spabobin,,Kuraudo
BOTB Tampa Bison,,FSM Spabobin
ANBU_MrFrayFray,,Dark Mavid
HOLD DAT L,,L4
NoelBHungry,,HOLD DAT L
ANBU_MrFrayFray,,aimforthefeet
RedPanda Knuckledust,,ANBU_MrFrayFray
NoelBHungry,,Kuraudo
RedPanda Knuckledust,,NoelBHungry
RedPanda Knuckledust,,FSM Spabobin
NYC Vega,,Jesse Hamilton
EG K-Brad,,NYC Vega
AceUnlimited,,Allen Hunt
shonuff122,,Jesse Munoz
TEMPO Chris G,,Marshall King
EG K-Brad,,AceUnlimited
TEMPO Chris G,,shonuff122
EG K-Brad,,TEMPO Chris G
Marshall King,,Jesse Hamilton
Marshall King,,Jesse Munoz
AceUnlimited,,Marshall King
Allen Hunt,,NYC Vega
Allen Hunt,,shonuff122
AceUnlimited,,Allen Hunt
TEMPO Chris G,,AceUnlimited
Seriphx,,McLovin
LU | Alex Valle,,Seriphx
MX|Mad,,ReSe|GoldenBiscuit
LU | Alex Valle,,MX|Mad
Xaiah,,GG SherryJenix
Xaiah,,Kevin Munoz
BCW_JMendes,,SurgingStorm
BCW_JMendes,,Xaiah
LU | Alex Valle,,BCW_JMendes
SurgingStorm,,McLovin
GG SherryJenix,,ReSe|GoldenBiscuit
SurgingStorm,,Kevin Munoz
GG SherryJenix,,Seriphx
MX|Mad,,SurgingStorm
Xaiah,,GG SherryJenix
MX|Mad,,Xaiah
MX|Mad,,BCW_JMendes
Dunham,,Tal
YOMI Joel,,Dunham
RedMage138,,Kristougher
TheMANSERIES,,Papa Giasso
TS NerdJosh,,TheMANSERIES
RikkaFresh,,FormerlyUnknown
YOMI Joel,,RedMage138
TS NerdJosh,,RikkaFresh
YOMI Joel,,TS NerdJosh
FormerlyUnknown,,Tal
Kristougher,,Papa Giasso
Kristougher,,Dunham
FormerlyUnknown,,TheMANSERIES
RedMage138,,FormerlyUnknown
RikkaFresh,,Kristougher
RikkaFresh,,RedMage138
TS NerdJosh,,RikkaFresh
Shotty,,DCB Afterdeath
BOTB Tampa Bison,,RedPanda Knuckledust
WFX 801 Strider,,PIE Smug
Wave Foomy,,HadoukenMD
RB Snake Eyez,,YOMI Excited Beast
YOMI Joel,,TS NerdJosh
LU Alex Valle,,MX Mad
EG K-Brad,,TEMPO Chris G
EG JWong,,Sean Why
YOMI Dieminion,,John A Falcon
brenttiscool,,KIT Potato Salad
YOMI Shin Phoenix,,Frank the Tank
Julio,,STVG Flocker
Liquid Nuckledu,,ItsTheR
F3.Alucard,,BCW Greyskarr
EG Ricki Ortiz,,Damdai
BOTB Tampa Bison,,Shotty
WFX 801 Strider,2-0,Wave Foomy
RB Snake Eyez,2-0,YOMI Joel
RedPanda Knuckledust,2-1,DCB Afterdeath
PIE Smug,2-0,HadoukenMD
YOMI Dieminion,2-1,EG JWong
Frank the Tank,2-0,KIT Potato Salad
TS NerdJosh,2-0,YOMI Excited Beast
YOMI Joel,2-1,Frank the Tank
LU Alex Valle,2-1,EG K-Brad
brenttiscool,2-0,YOMI Shin Phoenix
TEMPO Chris G,2-0,MX Mad
TEMPO Chris G,2-0,EG JWong
Sean Why,2-1,John A Falcon
STVG Flocker,2-0,ItsTheR
Liquid Nuckledu,2-1,Julio
YOMI Shin Phoenix,2-0,TS NerdJosh
Damdai,2-1,BCW Greyskarr
EG Ricki Ortiz,2-0,F3.Alucard
STVG Flocker,2-0,Wave Foomy
EG K-Brad,2-0,Sean Why
Damdai,2-0,Shotty
F3.Alucard,2-0,RedPanda Knuckledust
BOTB Tampa Bison,2-1,WFX 801 Strider
STVG Flocker,2-0,Damdai
PIE Smug,2-1,Julio
TEMPO Chris G,2-0,YOMI Shin Phoenix
EG K-Brad,2-0,YOMI Joel
RB Snake Eyez,2-0,LU Alex Valle
EG Ricki Ortiz,2-1,Liquid Nuckledu
YOMI Dieminion,2-0,brenttiscool
PIE Smug,2-0,F3.Alucard
EG K-Brad,2-1,Liquid Nuckledu
brenttiscool,2-0,STVG Flocker
WFX 801 Strider,2-1,TEMPO Chris G
PIE Smug,2-0,LU Alex Valle
BOTB Tampa Bison,3-1,RB Snake Eyez
YOMI Dieminion,3-1,EG Ricki Ortiz
WFX 801 Strider,3-0,PIE Smug
brenttiscool,3-2,EG K-Brad
EG Ricki Ortiz,3-1,WFX 801 Strider
RB Snake Eyez,3-0,brenttiscool
YOMI Dieminion,3-0,BOTB Tampa Bison
RB Snake Eyez,3-1,EG Ricki Ortiz
RB Snake Eyez,3-1,BOTB Tampa Bison
RB Snake Eyez,3-1,YOMI Dieminion
RB Snake Eyez,3-0,YOMI Dieminion
