winner,rounds,loser
Spano,2-0,Tam
Tonpy,2-0,Spano
Shaun,2-0,Yuki
Yuki,2-0,Spano
Shaun,2-0,Noobiex
Noobiex,2-0,Tam
Noobiex,2-0,Yuki
Tonpy,2-0,Shaun
Shaun,2-1,Noobiex
Moonflow,2-0,Duc Nguyen
Gonzalez,2-0,heodzodzien
heodzodzien,2-0,Duc Nguyen
RZR|Gackt,2-0,Moonflow
heodzodzien,2-0,Moonflow
RZR|Gackt,2-0,Gonzalez
Gonzalez,2-0,heodzodzien
FV|Mark,2-0,Marn
Flashy,2-0,Quang
SiLG|Stanick,2-0,FV|Mark
FV|Mark,2-0,Quang
Qanba.DouyuTV|Xiao Hai,2-0,Flashy
Flashy,2-0,FV|Mark
Qanba.DouyuTV|Xiao Hai,2-0,SiLG|Stanick
SiLG|Stanick,2-0,Flashy
Pine,2-0,JackieChanningTatum
Itazan,2-0,Pine
UltraBram,2-0,LK
LK,2-0,JackieChanningTatum
LK,2-0,Pine
Itazan,2-0,UltraBram
UltraBram,2-1,LK
Hideo,2-0,GG|aLiouFe
CK-VNZ,2-0,Duy
Jiewa,2-0,Hideo
Duy,2-0,GG|aLiouFe
Jiewa,2-0,CK-VNZ
Hideo,2-0,Duy
CK-VNZ,2-0,Hideo
Kontoru,2-0,gaumin
KOK,2-0,hismit
YBK|Shiro,2-0,Kontoru
hismit,2-0,gaumin
hismit,2-0,Kontoru
YBK|Shiro,2-0,KOK
KOK,2-0,hismit
baotrung3108,2-0,Sennette
Tuan Mario,2-0,mdzor
Tuan Mario,2-0,Phuong
CCG|Humanbomb,2-0,baotrung3108
Phuong,2-0,Sennette
baotrung3108,2-0,mdzor
baotrung3108,2-0,Phuong
CCG|Humanbomb,2-0,Tuan Mario
Tuan Mario,2-0,baotrung3108
DouyuTV|God of Sky,2-1,Anubis
Tiger Uppercut,2-0,Fruit
Chuan,2-0,Tiger Uppercut
Anubis,2-0,Fruit
Chuan,2-0,DouyuTV|God of Sky
Anubis,2-0,Tiger Uppercut
Tonpy,,Shaun
RZR|Gackt,,Gonzalez
Qanba.DouyuTV|Xiao Hai,,SiLG|Stanick
ItaZan,,UltraBram
Jiewa,,CK-VNZ
YBK|Shiro,,KOK
CCG|Humanbomb,,Tuan Mario
Chuan,,DouyuTV|God of Sky
Tonpy,2-0,RZR|Gackt
Qanba.DouyuTV|Xiao Hai,2-0,ItaZan
Jiewa,2-1,YBK|Shiro
CCG|Humanbomb,2-0,Chuan
Gonzalez,2-0,Shaun
SiLG|Stanick,2-1,UltraBram
KOK,2-0,CK-VNZ
DouyuTV|God of Sky,2-0,Tuan Mario
Gonzalez,2-0,Chuan
YBK|Shiro,2-0,SiLG|Stanick
KOK,2-0,ItaZan
RZR|Gackt,2-0,DouyuTV|God of Sky
Qanba.DouyuTV|Xiao Hai,3-1,Tonpy
Jiewa,3-1,CCG|Humanbomb
Gonzalez,3-2,YBK|Shiro
RZR|Gackt,3-0,KOK
Tonpy,3-0,Gonzalez
RZR|Gackt,3-1,CCG|Humanbomb
Qanba.DouyuTV|Xiao Hai,3-1,Jiewa
RZR|Gackt,3-2,Tonpy
RZR|Gackt,3-0,Jiewa
RZR|Gackt,3-0,Qanba.DouyuTV|Xiao Hai
Qanba.DouyuTV|Xiao Hai,3-1,RZR|Gackt
