winner,rounds,loser
Infiltration,2-1,EG|ChocoBlanka
AiAi,2-1,Uryo
Inco,2-0,Eita
AiAi,2-1,RB|Snake Eyez
RB|Bonchan,2-0,Brawl|Haitani
Brawl|Haitani,2-0,Kindou
YBK|Dashio,2-0,RZR|Fuudo
MF|Tonpy,2-1,/r/Kappa|Poongko
BE|Nemo,2-0,CCG|HumanBomb
MCZ|Mago,2-1,RZR|Itabashi Zangief
AiAi,2-1,RB|Bonchan
Uryo,2-0,YBK|Shirou
pH|Hoodaman,2-1,Uryo
Inco,2-1,RB|Snake Eyez
RZR|Itabashi Zangief,2-0,pH|Hoodaman
Brawl|Haitani,2-0,Inco
YBK|Kawaguchi,2-0,EG|K-Brad
Twiggy,2-1,Misse
Shimauta,2-1,wao
Infiltration,2-0,Twiggy
YBK|Kawaguchi,2-1,Shimauta
KojiKOG,2-1,MCZ|Tokido
Meu,2-0,EG|K-Brad
Ebi,2-0,Misse
Shimauta,2-1,Ebi
Twiggy,2-1,wao
MCZ|Daigo,2-0,FDY|StormKubo
FGC|Pepeday,2-0,Kyoku
MOV,2-0,EG|PR Balrog
Akimo,2-0,Brawl|Haitani
RB|Bonchan,2-1,RZR|Itabashi Zangief
Nishikin,2-1,Matsuri
AvM|GamerBee,2-1,Kazunoko
BE|Nemo,2-0,Nishikin
KojiKOG,2-1,FGC|Pepeday
Gachikun,2-0,MF|Tonpy
-6,2-1,MCZ|Daigo
RZR|Fuudo,2-0,Kyabetsu
AvM|GamerBee,2-1,BE|Nemo
RZR|Fuudo,2-0,MCZ|Daigo
/r/Kappa|Poongko,2-1,EG|PR Balrog
CCG|HumanBomb,2-0,Matsuri
FGC|Ooitajin,2-1,Nishikin
Kyoku,2-1,Sabohani
MCZ|Tokido,2-0,CCG|HumanBomb
Kyoku,2-0,MCZ|Tokido
YBK|Dashio,2-1,Gachikun
-6,2-0,MOV
Kazunoko,2-1,FGC|Ooitajin
Kazunoko,2-0,FGC|Pepeday
RZR|Fuudo,2-1,/r/Kappa|Poongko
RZR|Fuudo,2-0,Gachikun
MF|Tonpy,2-0,MOV
BE|Nemo,2-0,Kyoku
Shimauta,2-1,Twiggy
MCZ|Mago,2-0,AiAi
Infiltration,2-0,YBK|Kawaguchi
YBK|Kawaguchi,2-1,Shimauta
RB|Bonchan,2-0,Akimo
RB|Bonchan,2-1,AiAi
YBK|Dashio,2-0,-6
AvM|GamerBee,2-1,KojiKOG
BE|Nemo,2-0,Kazunoko
RZR|Fuudo,2-1,MF|Tonpy
BE|Nemo,2-0,KojiKOG
-6,2-1,RZR|Fuudo
Infiltration,3-2,MCZ|Mago
YBK|Dashio,3-0,AvM|GamerBee
RB|Bonchan,3-1,YBK|Kawaguchi
BE|Nemo,3-2,-6
RB|Bonchan,3-2,AvM|GamerBee
BE|Nemo,3-0,MCZ|Mago
YBK|Dashio,3-0,Infiltration
RB|Bonchan,3-1,BE|Nemo
RB|Bonchan,3-1,Infiltration
RB|Bonchan,3-2,YBK|Dashio
YBK|Dashio,3-1,RB|Bonchan
