winner,rounds,loser
WTQ8 | Jaber,,faisalalmutairi
Noob_Player,,shido_
Armageddon,,samuraispirit
FUJIQ8,,Second_Son_5ald
WTQ8 | Elcaptain,,FUJIQ8
samuraispirit,,FUJIQ8
YBK | R,,Noob_Player
RZR | Xian,,Armageddon
Armageddon,,Second_Son_5ald
shido_,,faisalalmutairi
YBK | R,,WTQ8 | Elcaptain
Armageddon,,shido_
RZR | Xian,,WTQ8 | Jaber
Noob_Player,,samuraispirit
WTQ8 | Elcaptain,,Armageddon
Noob_Player,,WTQ8 | Jaber
YBK | R,,RZR | Xian
WTQ8 | Elcaptain,,Noob_Player
RZR | Xian,,WTQ8 | Elcaptain
TKR_DOUKHI,,Bo_aseel
WTQ8 | Fizzie,,TKR_DOUKHI
Thamer1977,,jacopdr
Akimo,,Thamer1977
Lord Devil,,Abodora
Thamer1977,,Abodora
HunTeR,,Lord Devil
Lord Devil,,jacopdr
TKR_DOUKHI,,Lord Devil
Finalzero,,ALAFASY_23
ALAFASY_23,,Bo_aseel
ALAFASY_23,,Thamer1977
WTQ8 | Fizzie,,HunTeR
Akimo,,Finalzero
HunTeR,,ALAFASY_23
Finalzero,,TKR_DOUKHI
Akimo,,WTQ8 | Fizzie
HunTeR,,Finalzero
HunTeR,,WTQ8 | Fizzie
TrainerFOX,,7ussein_alsalmam
RZR | Fuudo,,TrainerFOX
Boochi,,Blue Kaizer
Mohammad_,,Ali_ahli
boahmad,,Avernaus
Boochi,,SALEM AKUMA
WTQ8 | Aziz,,Mohammad_
SALEM AKUMA,,Ali_ahli
RZR | Fuudo,,Boochi
Arika,,boahmad
Blue Kaizer,,Mohammad_
TrainerFOX,,Avernaus
boahmad,,7ussein_alsalmam
Arika,,WTQ8 | Aziz
SALEM AKUMA,,TrainerFOX
Blue Kaizer,,boahmad
Boochi,,Blue Kaizer
WTQ8 | Aziz,,SALEM AKUMA
RZR | Fuudo,,Arika
WTQ8 | Aziz,,Boochi
Arika,,WTQ8 | Aziz
volibear,,Hamad_ahli
FA | Prodicalson,,volibear
JKazuma,,OutLaw
SEMBOOSA,,WTQ8 | Ibraheem
NoorNabelsi,,Bader Almahmeed
SEMBOOSA,,ShadowofMath
OutLaw,,ShadowofMath
WTQ8 | Yoni,,NoorNabelsi
NoorNabelsi,,Hamad_ahli
WTQ8 | Dudebag,,JKazuma
JKazuma,,WTQ8 | Ibraheem
volibear,,Bader Almahmeed
OutLaw,,volibear
WTQ8 | Dudebag,,WTQ8 | Yoni
NoorNabelsi,,JKazuma
FA | Prodicalson,,SEMBOOSA
WTQ8 | Yoni,,OutLaw
WTQ8 | Dudebag,,FA | Prodicalson
SEMBOOSA,,NoorNabelsi
WTQ8 | Yoni,,SEMBOOSA
FA | Prodicalson,,WTQ8 | Yoni
Tekkablade,,soulash
YBK | Dashio,,Tekkablade
almulla,,kayto_aa
Bomsa,,Talal EG
YBK | KichiKen,,almulla
failichawy iori-q8,,IIGTRII
IIGTRII,,kayto_aa
Tekkablade,,Talal EG
WTQ8 | boxer4ever,,Bomsa
YBK | Dashio,,failichawy iori-q8
Tekkablade,,IIGTRII
YBK | KichiKen,,WTQ8 | boxer4ever
Bomsa,,almulla
WTQ8 | boxer4ever,,Tekkablade
YBK | KichiKen,,YBK | Dashio
failichawy iori-q8,,Bomsa
WTQ8 | boxer4ever,,failichawy iori-q8
YBK | Dashio,,WTQ8 | boxer4ever
WTQ8 | Gannoon,,pain
Hamu Chan,,WTQ8 | Bo Bader
gvoice,,Failakawi
Latif,,Hamu Chan
WTQ8 | Bo Bader,,Failakawi
WTQ8 | Meshal,,gvoice
gvoice,,pain
WTQ8 | Gannoon,,WTQ8 | Meshal
Hamu Chan,,gvoice
Latif,,WTQ8 | Gannoon
WTQ8 | Meshal,,WTQ8 | Bo Bader
WTQ8 | Meshal,,Hamu Chan
WTQ8 | Gannoon,,WTQ8 | Meshal
WTQ8 | Nox2,,ZeusX
I body him,,Osama_kun
WTQ8 | Nox2,,Ya3goob
Itazan,,I body him
Ya3goob,,Osama_kun
I body him,,ZeusX
Itazan,,WTQ8 | Nox2
I body him,,Ya3goob
WTQ8 | Nox2,,I body him
MajinShinken Musa,,Mortal_comebax
Jaguar_murad,,Q8tyloco
Gunner85,,yousef84
EvilYoshi,,WTQ8 | Ramadan
MajinShinken Musa,,Gunner85
YBK | Santarouman,,YuoSham
yousef84,,Mortal_comebax
WTQ8 | mrkingvega,,Jaguar_murad
Gunner85,,Q8tyloco
Jaguar_murad,,yousef84
Gunner85,,YuoSham
WTQ8 | Ramadan,,Jaguar_murad
YBK | Santarouman,,MajinShinken Musa
EvilYoshi,,WTQ8 | mrkingvega
MajinShinken Musa,,WTQ8 | Ramadan
YBK | Santarouman,,EvilYoshi
WTQ8 | mrkingvega,,Gunner85
WTQ8 | mrkingvega,,MajinShinken Musa
EvilYoshi,,WTQ8 | mrkingvega
YBK | R,,RZR | Xian
Akimo,,Hunter
RZR | Fuudo,,Arika
WTQ8 | Dudebag,,FA | Prodicalson
YBK | KichiKen,,YBK | Dashio
Latif,,WTQ8 | Gannoon
Itazan,,WTQ8 | Nox2
YBK | Sanrtarouman,,EvilYoshi
YBK | R,2-1,Akimo
RZR | Fuudo,2-0,WTQ8 | Dudebag
Latif,2-1,YBK | KichiKen
Itazan,2-0,YBK | Sanrtarouman
RZR | Xian,2-0,Hunter
WTQ8 | Gannoon,2-1,YBK | Dashio
FA | Prodicalson,2-0,Arika
WTQ8 | Nox2,2-0,EvilYoshi
RZR | Xian,2-0,YBK | Sanrtarouman
FA | Prodicalson,2-1,YBK | KichiKen
WTQ8 | Gannoon,2-1,WTQ8 | Dudebag
WTQ8 | Nox2,2-1,Akimo
RZR | Fuudo,3-1,YBK | R
Latif,3-2,Itazan
RZR | Xian,3-0,FA | Prodicalson
WTQ8 | Gannoon,3-0,WTQ8 | Nox2
RZR | Xian,3-1,YBK | R
Itazan,3-0,WTQ8 | Gannoon
RZR | Fuudo,3-2,Latif
RZR | Xian,3-2,Itazan
RZR | Xian,3-2,Latif
RZR | Xian,3-0,RZR | Fuudo
RZR | Xian,3-2,RZR | Fuudo
