winner,rounds,loser
RS Doom,2-0,MBA Spartan Throne
Shivryuken,2-0,Citizen
Snake Belmont,2-1,LOM Vegedow
Melty Will2pac,2-1,Ninja Shinryu
UM Makai,2-0,Metalqueersolid
Rising Superstar Alfie,2-1,LOM Luckboxq
LOM Buffalo,2-0,Dry Captain Ook
LOM J Miller,2-0,Ren
Deku Deku Tree,2-0,Fuzzy
Shek,2-0,Rob ZFR
SFO Broodoo,2-1,Platinum Kid
IND Incognitus,2-0,Hells W1nd
Valmaster,2-0,FLB Azizul
Theory Fighter,2-0,SS King Jae
Flawless Deku,2-0,SMBF Nebbiez
BattleTiger UM RMZ,2-0,SFO Brylarke
Pro Fluke,2-0,LOM Buffalo
Gamachan,2-0,ED Lavell Up
Real Menace,2-0,SMBF Ultra Squaddy
UM Lemon,2-0,SFO Willo
Ajay,2-0,VSF jinty
BattleTiger UM Isam,2-1,RS Nutrient
Rize IND Zain,2-0,RS AyJayirl
PXP KIG Problem X,2-0,Snake Belmont
Rize Infexious,2-0,UM Makai
RDE Edinbulba,2-1,Rize IND Boltstrike
SYN Chuck,2-0,SFO JLM
Gonzales,2-1,ED Kyros
ECO Ninja Shakz,2-1,Quaka
BattleTiger UM Gunslinga,2-0,VSF justin
BattleTiger UM Hurricane,2-0,UM Lemon
SMBF Walkerfam,2-0,Daniel Dillips
Deku WSO Andreas,2-0,LOM J Miller
SFO Ghost,2-1,NGI LOM Wiseblade
BXC Phenom,2-1,Rising Superstar Alfie
LOM Warteacher,2-1,Chaos Time
BattleTiger UM ImStillDaDaddy,2-0,Shivryuken
IND A Laughing Goblin,2-0,Afii
FA Prodigal Son,2-0,Shek
LOM Vegedow,2-1,Ninja Shinryu
Daniel Dillips,2-0,MBA Spartan Throne
Cobelcog,2-0,Packz
BattleTiger UM Tyrant,2-0,SFO Broodoo
Rize IND Boltstrike,2-0,Citizen
SFO Willo,2-0,VSF justin
MD Luffy,2-0,Theory Fighter
SFO JLM,2-0,Dry Captain Ook
BattleTiger UM RMZ,2-0,Gamachan
PXP KIG Problem X,2-0,IND Incognitus
BattleTiger UM Hurricane,2-0,Ajay
SMBF Nebbiez,2-0,Metalqueersolid
Rising Superstar Alfie,2-0,SMBF Nebbiez
Valmaster,2-0,SYN Chuck
Melty Cuongster,2-0,RS Doom
Flawless Deku,2-1,BXC Phenom
Rob ZFR,2-0,Hells W1nd
RS AyJayirl,2-1,SS King Jae
RS Nutrient,2-0,Ren
IND A Laughing Goblin,2-1,Rize IND Zain
Pro Fluke,2-0,Deku Deku Tree
Gonzales,2-1,RDE Edinbulba
ED Lavell Up,2-1,Platinum Kid
Shek,2-0,LOM Vegedow
Snake Belmont,2-0,Rob ZFR
LOM Buffalo,2-0,Fuzzy
Deku WSO Andreas,2-0,SMBF Walkerfam
LOM J Miller,2-1,Daniel Dillips
BattleTiger UM Tyrant,2-0,LOM Warteacher
BattleTiger UM Gunslinga,2-0,Cobelcog
Chaos Time,2-1,SFO Broodoo
LOM Luckboxq,2-0,SMBF Ultra Squaddy
NGI LOM Wiseblade,2-1,Shivryuken
Rize Infexious,2-0,Real Menace
Rize IND Boltstrike,2-0,ED Kyros
SFO JLM,2-0,FLB Azizul
Quaka,2-0,Theory Fighter
Melty Cuongster,2-0,BattleTiger UM Isam
Afii,2-0,RS AyJayirl
BattleTiger UM ImStillDaDaddy,2-1,SFO Ghost
RS Doom,2-0,RS Nutrient
SYN Chuck,2-0,Shek
UM Lemon,2-1,VSF jinty
Packz,2-0,SFO Willo
BXC Phenom,2-0,LOM J Miller
SFO Brylarke,2-1,ED Lavell Up
MD Luffy,2-1,ECO Ninja Shakz
Rize IND Boltstrike,2-1,Gamachan
Afii,2-0,Cobelcog
PXP KIG Problem X,2-0,BattleTiger UM RMZ
Deku WSO Andreas,2-0,BattleTiger UM Gunslinga
IND Incognitus,2-0,LOM Buffalo
NGI LOM Wiseblade,2-1,LOM Warteacher
Real Menace,2-1,RS Doom
Ajay,2-1,Quaka
SMBF Walkerfam,2-1,Rising Superstar Alfie
Flawless Deku,2-1,IND A Laughing Goblin
UM Makai,2-1,LOM Luckboxq
Deku Deku Tree,2-1,Snake Belmont
RDE Edinbulba,2-0,SFO Brylarke
FA Prodigal Son,2-1,Melty Will2pac
Chaos Time,2-1,SFO Ghost
ECO Ninja Shakz,2-0,UM Lemon
Rize IND Zain,2-1,Packz
Afii,2-1,SMBF Walkerfam
Valmaster,2-1,BattleTiger UM ImStillDaDaddy
Chaos Time,2-0,SYN Chuck
Rize IND Boltstrike,2-1,IND Incognitus
RDE Edinbulba,2-1,Deku Deku Tree
