winner,rounds,loser
Bx3.TpLink|Phenom,2-0,Badi Lootion
Bashfest,2-0,RBN|Bliredd
PXP.KIG|ProblemX,2-0,TSM|Leffen
YBK|Shiro,2-0,IND|ThunderBear
Bx3.TpLink|Veggey,2-0,Eunbeen
Rosso,2-0,Pedram
Gonzales,2-0,Packz
ProFluke,2-0,RBN|Duppsko
RBN|Bliredd,2-0,Badi Lootion
Bx3.TpLink|Phenom,3-0,Bashfest
Pedram,2-0,Eunbeen
Bx3.TpLink|Veggey,3-0,Rosso
IND|ThunderBear,3-1,TSM|Leffen
YBK|Shiro,3-2,PXP.KIG|ProblemX
Packz,3-1,RBN|Duppsko
Gonzales,3-0,ProFluke
PXP.KIG|ProblemX,3-0,Pedram
IND|ThunderBear,3-2,Rosso
Bx3.TpLink|Phenom,3-2,YBK|Shiro
Gonzales,3-0,Bx3.TpLink|Veggey
ProFluke,3-0,RBN|Bliredd
Packz,3-1,Bashfest
ProFluke,3-2,IND|ThunderBear
PXP.KIG|ProblemX,3-2,Packz
PXP.KIG|ProblemX,3-0,Bx3.TpLink|Veggey
YBK|Shiro,3-0,ProFluke
Gonzales,3-0,Bx3.TpLink|Phenom
YBK|Shiro,3-2,PXP.KIG|ProblemX
YBK|Shiro,3-1,Bx3.TpLink|Phenom
YBK|Shiro,3-2,Gonzales
YBK|Shiro,3-0,Gonzales
