winner,rounds,loser
TR Mac,2-0,Obake
UM Tyrant,2-0,Streetmonkeys Hekiat
Gonzales,2-0,Big Mara Ramiz
CTRL B,2-1,Man Filth
BX3 TP-Link Phenom,2-0,MDZ Ricky
Packz,2-0,Goukifafa
IPlay Yougenius,2-0,RSD Beef
Iplay Sheva,2-0,VIsual Badmuts24
Starnabb,2-0,Sinical
Andreas,2-0,Fuhajin
Melty Cuongster,2-0,IND MDZ ButterBeefBison
Melty | Will2Pac,2-0,The leoholic
IPlay Demulant,2-0,VT Kirat
Emersion,2-0,Annoobilation
DN SF4Killedus,2-0,MD Calin
Iplay Halibel,2-0,Daddy-Sensei
Niine90,2-0,MDZ Kampfkeks667
Pro Fluke,2-0,HLM
Gagapa,2-0,Warbio
YP Valmaster,2-0,Forward_dash
Enfont Pordu A Easyman,2-0,Confz
EG Kbrad,2-0,Agilo
MD Luffy,2-0,VT MGT
LLL RSD MBR,2-0,Streetmonkeys GotTheMojo
Afii,2-0,Guggemamol
HLM,2-0,RSD Beef
LLL Doomdomainn,2-0,RST Parablegreg
Forward_dash,2-0,MDZ Kampfkeks667
PXP KIG Problem X,2-0,Street4game Master Ziane
Keftaroz,2-0,Hashshashiyyin
MD Calin,2-0,Goukifafa
Melty Cuongster,2-0,LLL RSD MBR
HMD1050,2-0,Ettelman
Prodigal Son,2-0,DekuDeku Deku Tree
Devil Reapers Jimmy,2-0,ARF Gamein
Prodigal Son,2-0,TR Mac
EG Kbrad,2-0,CTRL B
Agilo,2-0,Man Filth
Annoobilation,2-0,VT MGT
Guggemamol,2-0,Hashshashiyyin
Afii,2-0,Keftaroz
Packz,2-0,DN SF4Killedus
Pro Fluke,2-0,IPlay Yougenius
LLL Doomdomainn,2-0,HMD1050
PXP KIG Problem X,2-0,Devil Reapers Jimmy
YP Valmaster,2-0,Niine90
Packz,2-0,Melty Cuongster
EG Kbrad,2-0,Pro Fluke
ImStillDaDaddy,2-0,Cevo
Daddy-Sensei,2-0,Confz
ARF Gamein,2-0,Street4game Master Ziane
Big Mara Ramiz,2-0,VIsual Badmuts24
DekuDeku Deku Tree,2-0,Obake
DN SF4Killedus,2-0,Agilo
MDZ Ricky,2-0,VT Kirat
Fuhajin,2-0,The leoholic
LLL RSD MBR,2-0,HLM
BX3 TP-Link Phenom,2-0,IPlay Demulant
Cevo,2-0,Sinical
Ettelman,2-0,RST Parablegreg
ARF Gamein,2-0,TR Mac
MD Calin,2-0,CTRL B
DekuDeku Deku Tree,2-0,Devil Reapers Jimmy
IND MDZ ButterBeefBison,2-0,Streetmonkeys GotTheMojo
Keftaroz,2-0,Forward_dash
Niine90,2-0,Guggemamol
Streetmonkeys Hekiat,2-0,Warbio
Big Mara Ramiz,2-0,HMD1050
LLL RSD MBR,2-0,DN SF4Killedus
IPlay Yougenius,2-0,IND MDZ ButterBeefBison
IPlay Demulant,2-0,Annoobilation
MD Luffy,2-0,Emersion
Iplay Halibel,2-0,Enfont Pordu A Easyman
IPlay Demulant,2-0,ARF Gamein
Gagapa,2-0,Fuhajin
Gagapa,2-0,UM Tyrant
UM Tyrant,2-0,Fuhajin
Andreas,2-0,Melty | Will2Pac
Starnabb,2-0,ImStillDaDaddy
Enfont Pordu A Easyman,2-0,Cevo
IPlay Yougenius,2-0,MD Calin
Keftaroz,2-0,Enfont Pordu A Easyman
Gonzales,2-0,Iplay Sheva
Emersion,2-0,MDZ Ricky
ImStillDaDaddy,2-0,Daddy-Sensei
Melty | Will2Pac,2-0,Streetmonkeys Hekiat
Iplay Sheva,2-0,Ettelman
ImStillDaDaddy,2-0,Niine90
Emersion,2-0,DekuDeku Deku Tree
Melty | Will2Pac,2-0,Iplay Sheva
UM Tyrant,2-0,Big Mara Ramiz
BX3 TP-Link Phenom,2-0,Prodigal Son
Andreas,2-0,Gonzales
YP Valmaster,2-0,Starnabb
Afii,2-0,Iplay Halibel
MD Luffy,2-0,PXP KIG Problem X
Gonzales,2-0,IPlay Yougenius
Melty | Will2Pac,2-0,Pro Fluke
Melty Cuongster,2-0,UM Tyrant
IPlay Demulant,2-0,Iplay Halibel
Emersion,2-0,Starnabb
Prodigal Son,2-0,Keftaroz
Prodigal Son,2-0,Melty Cuongster
Gagapa,2-0,LLL Doomdomainn
MD Luffy,2-0,EG Kbrad
LLL RSD MBR,2-0,LLL Doomdomainn
YP Valmaster,2-0,Andreas
Gagapa,2-0,Afii
BX3 TP-Link Phenom,2-0,Packz
LLL RSD MBR,2-0,IPlay Demulant
PXP KIG Problem X,2-0,ImStillDaDaddy
PXP KIG Problem X,2-1,Melty | Will2Pac
Gonzales,2-0,Emersion
Gonzales,2-0,Afii
Packz,2-1,PXP KIG Problem X
EG Kbrad,2-1,Prodigal Son
LLL RSD MBR,2-0,Andreas
MD Luffy,3-0,Gagapa
YP Valmaster,3-0,BX3 TP-Link Phenom
LLL RSD MBR,3-0,Packz
EG Kbrad,2-0,Gonzales
LLL RSD MBR,2-0,Gagapa
EG Kbrad,2-0,BX3 TP-Link Phenom
EG Kbrad,3-0,LLL RSD MBR
MD Luffy,3-1,YP Valmaster
YP Valmaster,3-2,EG Kbrad
MD Luffy,3-0,YP Valmaster
