winner,rounds,loser
RMZ,,HeidiBardon
唐医生,,Wang
RMZ,2-0,唐医生
威哥,2-0,OC
Xiaohai Qanba Douyu 280,2-0,威哥
Xiaohai Qanba Douyu 280,2-1,RMZ
唐医生,,OC
Wang,,HeidiBardon
Wang,,威哥
唐医生,,Wang
RMZ,,唐医生
Devil_Reapers | StormKubo 68,2-0,郭大喜
mint310,,豆奶
Devil_Reapers | StormKubo 68,2-0,mint310
RZR Gackt 96,,VidaCarstensen
嘟嘟,2-0,宅桑
RZR Gackt 96,2-0,嘟嘟
RZR Gackt 96,2-1,Devil_Reapers | StormKubo 68
宅桑,,VidaCarstensen
郭大喜,,豆奶
嘟嘟,,郭大喜
mint310,,宅桑
嘟嘟,,mint310
Devil_Reapers | StormKubo 68,2-0,嘟嘟
God of Sky 8.1,2-0,TOM
陈桓,2-0,阿翰
Jiewa 205,2-0,LieselotteTietje
张意,,Christian
God of Sky 8.1,2-0,张意
Jiewa 205,2-0,陈桓
Jiewa 205,2-0,God of Sky 8.1
阿翰,,LieselotteTietje
TOM,,Christian
张意,,阿翰
TOM,,陈桓
TOM,,张意
God of Sky 8.1,,TOM
cuishao,2-0,必然也
Dakou Qanba Douyu 12,2-0,阳光少年
直播弟,,PY
YBK Shiro 177,2-0,VSL Sizzla971
cuishao,2-1,YBK Shiro 177
Dakou Qanba Douyu 12,2-0,直播弟
Dakou Qanba Douyu 12,2-1,cuishao
阳光少年,,PY
YBK Shiro 177,2-0,阳光少年
必然也,,VSL Sizzla971
必然也,,直播弟
YBK Shiro 177,,必然也
YBK Shiro 177,,cuishao
天下人,2-0,CH (invitation pending)
太虎,2-0,Mehdi
大盗,,紫月
MF Tonpy 274,2-0,大盗
CH (invitation pending),2-1,Mehdi
天下人,2-0,太虎
MF Tonpy 274,,天下人
太虎,,紫月
大盗,,CH (invitation pending)
太虎,,大盗
天下人,,太虎
Pepeding,2-0,Chuan 59
罗晓虎,2-0,Lutak
Itabashi 148,2-0,RemonaDonoghue3
罗晓虎,2-1,Itabashi 148
天朝贵族,,杰克逊
Pepeding,,天朝贵族
罗晓虎,,Pepeding
Chuan 59,,杰克逊
Itabashi 148,2-0,Chuan 59
Lutak,2-0,RemonaDonoghue3
Lutak,2-0,天朝贵族
Itabashi 148,2-0,Lutak
Itabashi 148,2-1,Pepeding
Hurtch VR 1,2-1,具体哥
RZR Fuudo 214,,LatiaMattner29
海龙,2-0,Indmou
RZR Fuudo 214,2-1,海龙
眉山拳王,,souler
眉山拳王,2-1,Hurtch VR 1
RZR Fuudo 214,,眉山拳王
LatiaMattner29,,Indmou
具体哥,,souler
Hurtch VR 1,,LatiaMattner29
海龙,,具体哥
海龙,,Hurtch VR 1
眉山拳王,2-0,海龙
班禅,2-0,小宝
KOK 13,,张灂曦
CCG Humanbomb 171,,Zemerick
CCG Humanbomb 171,,班禅
CEO,,Fatdog
KOK 13,,CEO
CCG Humanbomb 171,2-0,KOK 13
小宝,,Zemerick
张灂曦,,Fatdog
小宝,,CEO
班禅,2-1,张灂曦
班禅,,小宝
KOK 13,,班禅
Itabashi 148,2-0,天下人
CCG Humanbomb 171,2-0,RZR Fuudo 214
Devil_Reapers | StormKubo 68,2-0,RMZ
God of Sky 8,2-1,YBK Shiro 177
KOK 13,2-0,眉山拳王1
拳霸斗鱼Xiaohai 280,2-1,RZR Gackt 96
罗晓虎,2-0,MF Tonpy 274
拳霸斗鱼Dakou 12,2-1,Jiewa 205
Itabashi 148,2-0,Jiewa 205
God of Sky 8,2-1,MF Tonpy 274
RZR Fuudo 214,2-0,Devil_Reapers | StormKubo 68
RZR Gackt 96,2-0,KOK 13
CCG Humanbomb 171,3-2,罗晓虎
拳霸斗鱼Dakou 12,3-2,拳霸斗鱼Xiaohai 280
RZR Fuudo 214,3-1,God of Sky 8
RZR Gackt 96,3-1,Itabashi 148
拳霸斗鱼Xiaohai 280,3-2,RZR Fuudo 214
RZR Gackt 96,3-1,罗晓虎
拳霸斗鱼Dakou 12,3-0,CCG Humanbomb 171
RZR Gackt 96,3-2,拳霸斗鱼Xiaohai 280
RZR Gackt 96,3-0,CCG Humanbomb 171
拳霸斗鱼Dakou 12,3-0,RZR Gackt 96
