winner,rounds,loser
Tangent,,Jed
Shogunn,,TSID N8THEOReat
Ghos7dini,,DMANSLAND
BOTB|JESTER,,SRM Mad King
Cartoon Hero,,Geronimo
Thoth,,AKG JediSalazar
BCW_BushinStyle,,GLB
Panoptic,,Rocksteady
r/SF | V.S. Cjbqulix,,Donsanity
CC,,GeeNoh
Mel,,Retro Glacius
Futile,,Legendarygamer
MCZ l MAGO,,Ghos7dini
Nacer,,V.S. Lorde Gamer
Tangent,,Poncho the Blue Volcano
25 R3dgy,,Baker
V.S. Lorde Gamer,,Baker
BOTB|JESTER,,Velociraptor
Kelvin Jeon,,Lemon Pie
BioBillyBonez,,MLP Triox
Nacer,,25 R3dgy
MikeJay,,BloodyZiFF
Stiqman,,Señor Goggles
SD Legend,,Thoth
Bruin,,L.Grinta
Ghos7dini,,V.S. Lorde Gamer
3e.ttf | unprotectedSEX,,Chase
MLP Triox,,GeeNoh
Donsanity,,Lemon Pie
Valiant,,mysticnamja
DKT,,YOMI Joel
SD Pnoy,,Stiqman
SRM Mad King,,Thoth
BloodyZiFF,,Retro Glacius
3e.ttf | unprotectedSEX,,Shogunn
Hsien Chang,,BCW_BushinStyle
TSID N8THEOReat,,Chase
EG K-BRAD,,Cartoon Hero
BloodyZiFF,,Stiqman
SD Pnoy,,Nacer
CC,,BioBillyBonez
Mel,,MikeJay
Velociraptor,,AKG JediSalazar
mysticnamja,,Rocksteady
BCW_BushinStyle,,MLP Triox
Futile,,YP Filipinoman
DMANSLAND,,25 R3dgy
Valiant,,Panoptic
EG K-BRAD,,CC
Poncho the Blue Volcano,,YOMI Joel
MikeJay,,Señor Goggles
Cartoon Hero,,mysticnamja
GLB,,BioBillyBonez
DMANSLAND,,BloodyZiFF
Shogunn,,Legendarygamer
MCZ l MAGO,,Mel
Panoptic,,Geronimo
r/SF | V.S. Cjbqulix,,Kelvin Jeon
YP Filipinoman,,TSID N8THEOReat
YP Filipinoman,,Poncho the Blue Volcano
Cartoon Hero,,GLB
Qanba Douyu|Xiaohai,,Bruin
Hsien Chang,,Valiant
Ghos7dini,,MikeJay
Kelvin Jeon,,L.Grinta
Kelvin Jeon,,Velociraptor
Tangent,,Futile
Qanba Douyu|Xiaohai,,SD Legend
Mel,,DMANSLAND
BOTB|JESTER,,r/SF | V.S. Cjbqulix
BCW_BushinStyle,,Panoptic
Bruin,,Donsanity
F3.Alucard,,DKT
Valiant,,Cartoon Hero
Nacer,,Ghos7dini
BCW_BushinStyle,,CC
SRM Mad King,,Bruin
SD Pnoy,,MCZ l MAGO
Nacer,,Mel
F3.Alucard,,3e.ttf | unprotectedSEX
Valiant,,BCW_BushinStyle
r/SF | V.S. Cjbqulix,,SRM Mad King
YP Filipinoman,,3e.ttf | unprotectedSEX
Hsien Chang,,EG K-BRAD
DKT,,Jed
Kelvin Jeon,,SD Legend
Qanba Douyu|Xiaohai,,BOTB|JESTER
DKT,,Shogunn
Valiant,,EG K-BRAD
Futile,,DKT
MCZ l MAGO,,Nacer
Kelvin Jeon,,r/SF | V.S. Cjbqulix
The Time Dictator,,LilLoco562
dumabalrog,,StepMasterRyan
YP Filipinoman,,Futile
Tamashiro,,Urbanexpression
F3.Alucard,,Tangent
Viennahotdog,,Derek Magee
Kelvin Jeon,,BOTB|JESTER
Soulless,,bklynExpress
Bokkin,,IEBG DreamMerchant
