winner,rounds,loser
SFT|Guiller BR,2-1,/r/Kappa|Pepeday
Keoma,2-0,WW|CamizaKOF
Reversal|ChuChu,2-1,SFT|Guiller BR
AAG|Pr3da,2-1,SOA|XR Prometo
Brawl|Haitani,2-1,SOA|Caju
SFT|Alexandro,,SFT|Dark817
/r/Kappa|Pepeday,,SFT|Fabinho
SOA|Ibukiman,,LTWins|Xitao
AAG|Baby Brasil,,SFT|Jacare
SOA|Ibukiman,2-0,WW|CamizaKOF
SOA|Caju,2-0,/r/Kappa|Pepeday
SOA|XR Prometo,2-1,SFT|Alexandro
SFT|Guiller BR,2-0,AAG|Baby Brasil
Keoma,3-0,Reversal|Chuchu
Haitani,3-0,AAG|Pr3da
SOA|XR Prometo,3-2,SOA|Caju
SOA|Ibukiman,3-1,SFT|Guiller BR
Reversal|ChuChu,3-0,SOA|XR Prometo
SOA|Ibukiman,3-1,AAG|Pr3da
Keoma,3-2,Brawl|Haitani
SOA|Ibukiman,3-2,Reversal|ChuChu
Brawl|Haitani,3-0,SOA|Ibukiman
Keoma,3-1,Brawl|Haitani
