winner,rounds,loser
Haitani,,Unsu
POONGKO,,Mohamedo
YBK|Dashio,,Kisaran
YOSSAN,,Meisai Ningyo
YBK|SANTAROU,,Hame Na Geru Shogun
RZR|Fuudo,,Usami Mushiko
Hagejin,,hishow Rabbit
RB|Bonchan,,aiai
BE|NEMO,,Shimauta
Dogura,,Asunyan
Kawaguchi,,Tarezou
YBK|-R-,,Moto
koji KOG,,Oppoi
Kyabetsu,,Dawgtanian
FGC|Pugera,,Ojisan
Gonzalez,,Initial Kyouso
Matsuri,,Flat
Rokkun,,Sasa
Rokkun,,Matsuri
stormKUBO,,Koyasu
MF|TONPY,,White Fang
RZR|Xian,,TTL|SHINBA
Tekateka,,EG|Choco
NISHIKIN,,Oitajin
NISHIKIN,,Tekateka
EG|Momochi,,NINOMAE
Eita,,Zenny
Nyanshi,,Ponzaman
6,,Reiketsu
6,,Nyanshi
G.Y.R.O,,SPANKY
Kenzo,,HYDE
Kitasenju DJ,,Sasaki
wao,,Electribe
RB|Bonchan,,wao
inco,,Misse
inco,,Kenzo
YBK|Shiro,,Nashi
Shougai Adashi-ku Min,,Mizoguchi Akikimi
BE|NEMO,,Shougai Adashi-ku Min
MOV,,Kindevu
MOV,,YBK|Shiro
BE|NEMO,,MOV
Okkun,,KeijiN
koji KOG,,Okkun
kai,,Hame-tamu
Kyabetsu,,kai
koji KOG,,Kyabetsu
BE|NEMO,,koji KOG
Sabo☆Hani,,Skunk
Jinzou,,Chanson
Kitasenju DJ,,Jinzou
Ikari no K Bison,,Ryutarou
Haitani,,Ikari no K Bison
Kitasenju DJ,,Haitani
Okome Man,,Jay
Naio,,Kaara
Sabo☆Hani,,Naio
Dogura,,Okome Man
Sabo☆Hani,,Dogura
Kitasenju DJ,,Sabo☆Hani
BE|NEMO,,Kitasenju DJ
Koichi,,Y
666,,Across
Koichi,,666
inco,,Koichi
Noriyasu,,dath
Hagejin,,Noriyasu
RB|Bonchan,,Hagejin
RB|Bonchan,,inco
Meu,,Jeppa~
G.Y.R.O,,Meu
6,,G.Y.R.O
Kindo,,MAST
EG|Momochi,,Kindo
Super Uriajjo,,foolycooly2
Eita,,Super Uriajjo
EG|Momochi,,Eita
EG|Momochi,,6
RB|Bonchan,,EG|Momochi
RB|Bonchan,,BE|NEMO
MDR,,Rokotsu
POONGKO,,MDR
Kyoku,,Hanamaruki
YBK|Dashio,,Kyoku
POONGKO,,YBK|Dashio
YBK|Shin,,YK
YOSSAN,,YBK|Shin
YOSSAN,,NISHIKIN
POONGKO,,YOSSAN
Harideshi,,Oni.
RZR|Xian,,Harideshi
Kuroda,,Nigiri Bison
MF|TONPY,,Kuroda
RZR|Xian,,MF|TONPY
Re:,,1P
stormKUBO,,Re:
EBI,,FGC|Sekiganryu
EBI,,YBK|-R-
EBI,,stormKUBO
RZR|Xian,,EBI
RZR|Xian,,POONGKO
Charisma,,FGC|Prit Bean
Kawaguchi,,Charisma
Kawaguchi,,Rokkun
hydeBUFFY,,Ushijima
hydeBUFFY,,YBK|SANTAROU
YBK|KichijojiKEN,,tuna
Gonzalez,,YBK|KichijojiKEN
hydeBUFFY,,Gonzalez
Kawaguchi,,hydeBUFFY
Izumi Kouta,,Narudo
RZR|Fuudo,,Izumi Kouta
Harumii,,Score
Shinto~,,Shunshun
FGC|Pugera,,Shinto~
