winner,rounds,loser
NEOPUNISHER,2-0,TISSUEMON
CONFZ,2-0,MR WOLF
DR THOMAS,2-0,SONNY
LUCAMAGO,,GANZ_76
FANCYLAINE,2-0,MANNY
DANIEL TA87,2-0,MIDAS
JIMMY89,2-0,LORD LORENZ
ALEXARANDOM,2-0,SQUIBB
MAZINKAISER,2-0,VACA89
DIMMER,2-0,MARCORYDAH
BONEHEAD,2-0,RAWPOWER
FABIO ZETA,,MARCO MAZZANTI
RUBEN,,BRYANPRO
EASYMAN,2-0,MARCOFLIGHT
DADDARIO,2-0,MINOXXX
SHIN87,,BEPPE YAGAMI79
SUPERFABIANO,2-0,ALTEREDTURBOMAX
DANILO,2-0,MATEO FRATUS
TEMPLAR,2-0,YOSHIO
THE LYL3,2-0,ADAN
PONZAMAN,2-0,BUSHIDO
DARIO,2-0,MASTER SARAYUT
BRYLARKE,,ZUTROI
BA B_5,,SOLDA
JOKER,,KUSH95
XIAN,,JOKER
MOOR,,CRASH
CANESMOKE,,PAND089
PHENOM,2-0,DARIO
CAMERAMAN,,NUTRI96
ITA77U,,LORENZO PIERACCI
MOV,2-0,DANILO
SHIRO,,ITA77U
VX,2-0,BA B_5
CLA75,,NICOY TIENGO
AFII,2-0,CLA75
SEPHRO8H89,,BERRI
EITA,2-0,CAMERAMAN
SHIN87,2-0,ARIKA
INFEXIOUS,2-0,DANIEL TA87
FUUDO,2-0,JIMMY89
REIKETSU,2-0,MOOR
K BRAD,2-0,DIMMER
PAHN,2-0,SEPHRO8H89
KINDEVU,2-0,CANESMOKE
BRYLARKE,2-0,DR THOMAS
CENEREBB,,PAN
VEGGEY,,CENEREBB
HAITANI,2-0,FANCYLAINE
RB,2-0,PONZAMAN
VALMASTER,2-0,LUCAMAGO
JOHN,,LAOGHE
TONPY,,JOHN
TEMPLAR,2-0,SUPERFABIANO
PRO FLUKE,2-1,DADDARIO
COCCOCCO713,,NICO
IMSTILLDADADDY,,COCCOCCO713
JORGE ARANA,,KIANDRES
LUFFY,,JORGE ARANA
RUBEN,2-1,SCHIACCI SEMPRE
ADAN,2-0,TISSUEMON
PONZAMAN,,KIANDRES
BITTA89,,SATER_S1
ALEXARANDOM,2-1,MAZINKAISER
YOSHIO,2-0,ALTEREDTURBOMAX
ARIKA,2-0,MR WOLF
DADDARIO,,SATER_S1
BA B_5,,CRASH
ITA77U,,NICOY TIENGO
BA B_5,,ITA77U
DANIEL TA87,,BERRI
NEOPUNISHER,2-0,THE LYL3
EASYMAN,2-1,PRODIGAL SON
SHIRO,2-0,VX
GONZALES,2-0,FABIO ZETA
FABIO ZETA,,NUTRI96
BUSHIDO,,JORGE ARANA
PACKZ,2-1,CONFZ
SONNY,,ZUTROI
FANCYLAINE,,PAN
CLA75,,LORENZO PIERACCI
SPLENDIDNULL,2-0,BITTA89
VACA89,,SQUIBB
SCHIACCI SEMPRE,,LAOGHE
JOKER,,PAND089
COCCOCCO713,,GANZ_76
CONFZ,,BEPPE YAGAMI79
RAWPOWER,2-0,JIMMY89
LUCAMAGO,,NICO
INFEXIOUS,2-0,VEGGEY
FUUDO,2-1,BRYLARKE
LUFFY,2-0,NEOPUNISHER
CAMERAMAN,,MARCO MAZZANTI
DIMMER,2-0,SONNY
BRYANPRO,,JOHN
CANESMOKE,,KUSH95
MOOR,,SOLDA
CLA75,,MOOR
HAITANI,2-0,PAHN
MANNY,,CENEREBB
GONZALES,2-0,SPLENDIDNULL
TONPY,2-0,TEMPLAR
XIAN,2-0,ALEXARANDOM
VALMASTER,2-0,SHIN87
REIKETSU,2-1,AFII
EITA,2-0,PRO FLUKE
ARIKA,2-0,LUCAMAGO
DARIO,2-1,ADAN
PRODIGAL SON,2-0,YOSHIO
VACA89,2-0,DANILO
DR THOMAS,2-0,MARCORYDAH
THE LYL3,2-0,MASTER SARAYUT
CAMERAMAN,2-0,DADDARIO
MAZINKAISER,,MATEO FRATUS
IMSTILLDADADDY,2-0,PACKZ
SEPHRO8H89,,MIDAS
RMZ,2-0,BONEHEAD
RB,2-1,PHENOM
CLA75,2-0,MOOR
CONFZ,,COCCOCCO713
MINOXXX,,BITTA89
MAZINKAISER,,JOKER
DANIEL TA87,2-0,MANNY
KINDEVU,2-1,MOV
SUPERFABIANO,2-0,MARCOFLIGHT
SUPERFABIANO,,BRYANPRO
THE LYL3,2-0,BUSHIDO
VACA89,,CANESMOKE
AFII,2-0,CONFZ
PONZAMAN,2-1,DARIO
PACKZ,2-0,CLA75
PRODIGAL SON,2-0,SCHIACCI SEMPRE
K BRAD,2-1,RMZ
DR THOMAS,2-1,RAWPOWER
SEPHRO8H89,2-0,FANCYLAINE
SHIN87,2-0,BA B_5
BONEHEAD,2-0,LORD LORENZ
VEGGEY,2-0,CAMERAMAN
BRYLARKE,2-1,SUPERFABIANO
PHENOM,2-0,VACA89
ALEXARANDOM,2-1,THE LYL3
