winner,rounds,loser
BIFU|SpabRog,2-0,OG|Lil Evil
DFW|SalTime,2-1,PIE|Poem
PIE|Smug,2-0,DCB|AfterDeath
BIFU|SpabRog,2-0,GW|Sketch
EG|Justin Wong,2-0,TS|Arturo Sanchez
YOMI|Joel,,YOMI|Dieminion
LTOD|Native Impact,2-0,OG|MasterMikee21
GW|Sketch,2-1,OG|Lil Evil
TSC|Sanford Kelly,2-0,PxG|Integra
Liquid|NuckleDu,2-0,PIE|Sci
OG|RLBS,2-0,QCB|Klitschko
CoinUp|Ludovic,2-1,DaFeetLee
FNO|BobbyBlunts,2-0,KIG|Problem X
EMP|Hiro,,PAG|Glitch
KIG|Problem X,,KS|Tali
YOMI|Dieminion,,OG|MasterMikee21
PxG|Integra,,DFW|SalTime
DCB|AfterDeath,,Damdai
Kreymore,,SP|Teiga
STVG|Flocker,,DaFeetLee
GW|Sketch,2-0,TS|Arturo Sanchez
FNO|CrazySalvi,,TSC|Sanford Kelly
LTOD|Native Impact,2-1,YOMI|Joel
PIE|Smug,,L1|Zaferino
RB|Snake Eyez,,CoinUp|Ludovic
FNO|BobbyBlunts,,OG|RLBS
EG|Justin Wong,2-1,BIFU|SpabRog
Liquid|NuckleDu,2-0,PG|Coach Steve
YOMI|Joel,,Kreymore
OG|RLBS,,GW|Sketch
PxG|Integra,,CoinUp|Ludovic
L1|Zaferino,,EMP|Hiro
KIG|Problem X,,BIFU|SpabRog
YOMI|Dieminion,,PG|Coach Steve
OCV|Riceata,,DCB|AfterDeath
TSC|Sanford Kelly,,STVG|Flocker
KIG|Problem X,,YOMI|Joel
OCV|Riceata,,PxG|Integra
YOMI|Dieminion,,OG|RLBS
L1|Zaferino,,TSC|Sanford Kelly
PIE|Smug,2-0,FNO|CrazySalvi
EG|Justin Wong,2-1,TLOD|Native Impact
RB|Snake Eyez,2-1,OG|Shine
Liquid|NuckleDu,2-0,FNO|BobbyBlunts
OCV|Riceata,2-0,LTOD|Native Impact
YOMI|Dieminion,2-0,FNO|CrazySalvi
OG|Shine,2-0,KIG|Problem X
L1|Zaferino,2-1,FNO|BobbyBlunts
EG|Justin Wong,2-1,PIE|Smug
Liquid|NuckleDu,2-1,RB|Snake Eyez
OG|Shine,2-1,L1|Zaferino
OCV|Riceata,2-1,YOMI|Dieminion
RB|Snake Eyez,2-1,OCV|Riceata
OG|Shine,2-0,PIE|Smug
RB|Snake Eyez,2-0,OG|Shine
EG|Justin Wong,3-2,Liquid|NuckleDu
RB|Snake Eyez,3-0,Liquid|NuckleDu
EG|Justin Wong,3-1,RB|Snake Eyez
