winner,rounds,loser
DR|StormKubo,2-1,GOL|Ranmasama
AvM|GamerBee,2-0,DR|StormKubo
12M.OCV|Riceata,2-1,BOTB|Tampa Bison
GOL|Ranmasama,2-1,DR|StormKubo
RZR|Xian,2-0,EG|K-Brad
RB|Bonchan,2-0,EG|Ricki Ortiz
EG|Momochi,2-1,12M.OCV|Riceata
TS|Arturo Sanchez,2-1,CCG|LapChi
MCZ|Mago,2-0,TOSFHQ|General Luke
PG|Filipino Champ,2-1,IND|Pro Fluke
MCZ|Mago,2-0,VGP|Chaotix
RZR|Fuudo,2-1,TS|Arturo Sanchez
MCZ|Tokido,2-1,PG|Filipino Champ
Kazunoko,2-0,PIE|Smug
CCG|Chi-Rithy,2-0,VGP|Chaotix
IND|Pro Fluke,,PG|Filipino Champ
WFX|801 Strider,2-0,Ed Ma
PIE|Poem,2-0,CCG|Air
WFX|801 Strider,2-0,Arika
EG|Justin Wong,2-0,/r/Kappa|KitasenjuDJ
Itabashi Zangief,2-0,PIE|Poem
CCG|Air,2-0,PIE|Poem
RB|Snake Eyez,2-0,ESR|Gonzales
Ian,2-0,LU|Alex Valle
EG|PR Balrog,2-0,TOSFHQ|Jimmy Fierce
YOMI|Dieminion,2-0,A&C|Italdan
CCG|Snafoo,2-1,FA|Ryan Hart
/r/SF|Rawbertson,2-1,/r/Kappa|Hagejin
/r/Kappa|Misse,2-0,ThePrince4D
/r/Kappa|Hagejin,,LU|Alex Valle
CCG|Snafoo,2-0,/r/SF|Rawbertson
YBK|801 Jayce the Ace,2-0,YOMI|Dieminion
MOV,2-0,EG|PR Balrog
/r/Kappa|Misse,2-1,BCW|Brenttiscool
EG|Ricki Ortiz,,EG|PR Balrog
/r/Kappa|KitasenjuDJ,,TS|Arturo Sanchez
Gonzales,,IND|Pro Fluke
CCG|Chi-Rithy,,Ed Ma
BCW|Brenttiscool,,1Up|Van
CCG|Air,,PIE|Smug
GOL|Ranmasama,,YOMI|Dieminion
FA|Ryan Hart,,12M.OCV|Riceata
EG|Momochi,2-1,CCG|Snafoo
MCZ|Mago,2-1,WFX|801 Strider
/r/Kappa|Misse,2-0,RZR|Xian
AvM|GamerBee,2-0,YBK|801 Jayce the Ace
MCZ|Tokido,2-0,RB|Snake Eyez
RB|Bonchan,2-0,MOV
RZR|Fuudo,2-1,EG|Justin Wong
Itabashi Zangief,2-1,Kazunoko
EG|Ricki Ortiz,,WFX|801 Strider
YBK|801 Jayce the Ace,,/r/Kappa|KitasenjuDJ
RZR|Xian,,Gonzales
RB|Snake Eyez,,BCW|Brenttiscool
EG|Justin Wong,,GOL|Ranmasama
CCG|Air,2-1,CCG|Snafoo
MOV,2-1,CCG|Chi-Rithy
Kazunoko,2-0,FA|Ryan Hart
RB|Snake Eyez,,CCG|Air
EG|Justin Wong,,MOV
YBK|801 Jayce the Ace,2-0,EG|Ricki Ortiz
Kazunoko,2-0,RZR|Xian
MCZ|Tokido,2-1,EG|Momochi
AvM|GamerBee,2-1,MCZ|Mago
RZR|Fuudo,2-0,RB|Bonchan
Itabashi Zangief,2-0,/r/Kappa|Misse
RB|Snake Eyez,2-0,RB|Bonchan
YBK|801 Jayce the Ace,2-1,/r/Kappa|Misse
EG|Momochi,2-1,EG|Justin Wong
MCZ|Mago,2-0,Kazunoko
MCZ|Tokido,3-1,AvM|GamerBee
RZR|Fuudo,3-1,Itabashi Zangief
EG|Momochi,3-0,MCZ|Mago
RB|Snake Eyez,3-1,YBK|801 Jayce the Ace
MCZ|Tokido,3-1,RZR|Fuudo
EG|Momochi,3-1,Itabashi Zangief
AvM|GamerBee,3-1,RB|Snake Eyez
EG|Momochi,3-0,AvM|GamerBee
RZR|Fuudo,3-2,EG|Momochi
RZR|Fuudo,3-2,MCZ|Tokido
MCZ|Tokido,3-2,RZR|Fuudo
