winner,rounds,loser
Coffee,2-1,Alex Yang
GambleBoxer,2-0,Venomkiller
Somniac,2-0,BK9999
Venomkiller,2-0,BK9999
Somniac,2-0,GambleBoxer
God of Sky,2-0,Coffee
GambleBoxer,2-0,Alex Yang
Venomkiller,2-1,Coffee
GambleBoxer,2-1,Venomkiller
Somniac,2-1,God of Sky
GambleBoxer,2-0,God of Sky
InC RoLLynX,2-0,paul ho
Daniel Thia,2-0,Tanka Tanky
HZY,2-0,wuming
wuming,2-0,Tanka Tanky
EG PR Balrog,2-0,Jan
EG PR Balrog,2-0,InC RoLLynX
Jan,2-0,paul ho
wuming,2-0,InC RoLLynX
HZY,2-0,Daniel Thia
Daniel Thia,2-1,Jan
Daniel Thia,2-0,wuming
EG PR Balrog,2-0,HZY
Daniel Thia,2-0,HZY
Arika,2-0,Jen
IZ Juri,2-1,SiLG Stanick
Ganguro,2-0,MoonRider
Jen,2-0,MoonRider
SKZ,2-0,Ke3m07
SiLG Stanick,2-0,Ke3m07
SKZ,2-0,IZ Juri
Ganguro,2-0,Arika
IZ Juri,2-0,Jen
Arika,2-0,SiLG Stanick
Arika,2-0,IZ Juri
Ganguro,2-1,SKZ
Arika,2-1,SKZ
Carzydog,2-0,Goodjazz
Sherman,2-0,Kim Il Songbo
Wongtoutou,2-0,Jayson
Carzydog,2-0,Wongtoutou
Goodjazz,2-1,Jayson
BrawL Haitani,2-0,DOMO
BrawL Haitani,2-0,Sherman
DOMO,2-0,Kim Il Songbo
Sherman,2-0,Goodjazz
Carzydog,2-0,BrawL Haitani
Wongtoutou,2-0,DOMO
Wongtoutou,2-0,Sherman
BrawL Haitani,2-0,Wongtoutou
Rodney,2-0,ME Shane
Leslie,2-0,BurnoutFighter
Jackson,2-0,SBK
Leslie,2-1,Jackson
BurnoutFighter,2-0,SBK
KOK,2-0,Rodney
Jackson,2-0,ME Shane
Rodney,2-0,BurnoutFighter
Rodney,2-0,Jackson
KOK,2-0,Leslie
Rodney,2-0,Leslie
Chuan,2-0,DOMO
Sachiko,2-0,VGD
Lexblade,2-0,GNIXER
IZ Kaiser,2-0,Bravery
DOMO,2-0,GNIXER
Bravery,2-0,VGD
IZ Kaiser,2-1,Sachiko
Sachiko,2-0,DOMO
Chuan,2-0,Lexblade
Bravery,2-0,Lexblade
Bravery,2-0,Sachiko
IZ Kaiser,2-0,Chuan
Chuan,2-0,Bravery
Kindevu,2-0,Mflo
Haw Seow,2-0,Squid Kid
Mflo,2-0,Squid Kid
Kindevu,2-0,Haw Seow
Rchan,2-0,Choobacca
Koji Miyake,2-0,Rchan
Haw Seow,2-0,Choobacca
Mflo,2-0,Rchan
Mflo,2-0,Haw Seow
Kindevu,2-0,Koji Miyake
Koji Miyake,2-0,Mflo
Taka Tanky,2-0,DJ Storm
Lenard,2-0,Shige
RZR GACKT ENG,2-0,leonlum
JD,2-0,Shane
Lenard,2-1,JD
leonlum,2-0,Shige
RZR GACKT ENG,2-0,Elton
Shane,2-1,leonlum
Elton,2-0,DJ Storm
Elton,2-0,JD
RZR GACKT ENG,2-0,Taka Tanky
RZR GACKT ENG,2-0,Lenard
Taka Tanky,2-1,Shane
Taka Tanky,2-0,Elton
Taka Tanky,2-0,Lenard
Dixon,2-0,Daniel Thia
Brawl|Haitani,2-0,Arika
Chuan,2-0,Rodney
Koji,2-1,Tanka Tanky
EG|PR Balrog,2-0,DB|Somniac
CrazyDog,2-1,Ganguro
IZ|Kaiser,2-1,KOK
Kindevu,2-1,RZR|Gackt
DB|Somniac,2-0,Koji
Chuan,2-0,Ganguro
KOK,2-1,Brawl|Haitani
RZR|Gackt,2-1,Dixon
Chuan,3-1,DB|Somniac
RZR|Gackt,3-1,KOK
EG|PR Balrog,3-0,CrazyDog
Kindevu,3-1,IZ|Kaiser
RZR|Gackt,3-0,CrazyDog
IZ|Kaiser,3-2,Chuan
Kindevu,3-1,EG|PR Balrog
RZR|Gackt,3-0,IZ|Kaiser
RZR|Gackt,3-2,EG|PR Balrog
Kindevu,3-0,RZR|Gackt
