winner,rounds,loser
Kindevu,3-2,拳霸斗鱼Xiaohai
Razer Xian,3-0,Poongko
Redbull Bonchan,3-1,Misse
Nemo,3-2,MOV
Kindevu,3-1,拳霸斗鱼Dakou
MOV,3-2,Razer Xian
Nemo,3-2,Redbull Bonchan
Poongko,3-2,拳霸斗鱼Xiaohai
Razer Xian,3-1,Kindevu
Poongko,3-1,Nemo
Misse,3-0,MOV
拳霸斗鱼Xiaohai,3-1,Razer Xian
Poongko,3-1,Redbull Bonchan
Nemo,3-0,Kindevu
MOV,3-2,拳霸斗鱼Xiaohai
Misse,3-2,Nemo
Poongko,3-0,拳霸斗鱼Dakou
Redbull Bonchan,3-0,MOV
Misse,3-2,Razer Xian
Redbull Bonchan,3-0,拳霸斗鱼Dakou
Poongko,3-2,Kindevu
拳霸斗鱼Xiaohai,3-1,Misse
Misse,3-2,拳霸斗鱼Dakou
Kindevu,3-0,MOV
Razer Xian,3-1,Nemo
Redbull Bonchan,3-2,拳霸斗鱼Xiaohai
拳霸斗鱼Dakou,3-2,Razer Xian
Poongko,3-1,Misse
拳霸斗鱼Xiaohai,3-1,拳霸斗鱼Dakou
Kindevu,3-2,Redbull Bonchan
Nemo,3-1,拳霸斗鱼Dakou
Razer Xian,3-1,Redbull Bonchan
拳霸斗鱼Dakou,3-0,MOV
Misse,3-0,Kindevu
Nemo,3-2,拳霸斗鱼Xiaohai
Poongko,3-0,MOV
Poongko,7-3,Nemo
