winner,rounds,loser
FA|Ryan Hart,,OP | Sick Bubblegum
IND | Ixion,,Fruit
OP | flcl,,qPHJ
FA|Ryan Hart,,Fruit
OP | flcl,,OP | Sick Bubblegum
IND | Ixion,,qPHJ
FA|Ryan Hart,,OP | flcl
Fruit,,qPHJ
IND | Ixion,,OP | Sick Bubblegum
FA|Ryan Hart,,qPHJ
IND | Ixion,,OP | flcl
OP | Sick Bubblegum,,Fruit
FA|Ryan Hart,,IND | Ixion
OP | Sick Bubblegum,,qPHJ
OP | flcl,,Fruit
DaFeetLee,,OP | KayJay
TM Robofobe,,James Deen
Yagami,,OP | KayJay
DaFeetLee,,TM Robofobe
Yagami,,James Deen
TM Robofobe,,OP | KayJay
Yagami,,TM Robofobe
DaFeetLee,,James Deen
DaFeetLee,,Yagami
James Deen,,OP | KayJay
FGCBR | Keoma,,Jet
c0ckman007,,Maven
Reiketsu,,Jet
FGCBR | Keoma,,Maven
Reiketsu,,c0ckman007
Jet,,Maven
Reiketsu,,Maven
FGCBR | Keoma,,c0ckman007
FGCBR | Keoma,,Reiketsu
Jet,,c0ckman007
SFO Brylarke,,Frametrap | The Prince
JAPF,,Kavorca
FA|Big Bird,,SFO Brylarke
Frametrap | The Prince,,JAPF
FA|Big Bird,,Kavorca
SFO Brylarke,,JAPF
FA|Big Bird,,JAPF
Frametrap | The Prince,,Kavorca
FA|Big Bird,,Frametrap | The Prince
SFO Brylarke,,Kavorca
Jojo,,Lamas
Namcore,,RonnyRundspark
CDV.MCZ.Will2pac,,Lamas
Jojo,,RonnyRundspark
CDV.MCZ.Will2pac,,Namcore
Lamas,,RonnyRundspark
CDV.MCZ.Will2pac,,RonnyRundspark
Jojo,,Namcore
CDV.MCZ.Will2pac,,Jojo
Lamas,,Namcore
Forward Dash,,Ippolit
ShonK,,Kilmer
GxC Damascus,,Forward Dash
Ippolit,,Kilmer
GxC Damascus,,ShonK
Forward Dash,,Kilmer
GxC Damascus,,Kilmer
Ippolit,,ShonK
GxC Damascus,,Ippolit
Forward Dash,,ShonK
EH ND|MajinTenshinhan,,PeatDefeat
Bobbis,,kata
Gonzalez,,PeatDefeat
EH ND|MajinTenshinhan,,kata
Gonzalez,,Bobbis
PeatDefeat,,kata
Gonzalez,,kata
Bobbis,,EH ND|MajinTenshinhan
Gonzalez,,EH ND|MajinTenshinhan
Bobbis,,PeatDefeat
RAEGO,,Doxus
Warbio,,gustavo
Melty.Cuongster,,Doxus
RAEGO,,gustavo
Melty.Cuongster,,Warbio
Doxus,,gustavo
Melty.Cuongster,,gustavo
Warbio,,RAEGO
Melty.Cuongster,,RAEGO
Warbio,,Doxus
Brick,,GTR
Kreymore,,Prowners
Meltdown|Luffy,,GTR
Kreymore,,Brick
Meltdown|Luffy,,Prowners
Kreymore,,GTR
Meltdown|Luffy,,Kreymore
Brick,,Prowners
Meltdown|Luffy,,Brick
GTR,,Prowners
Kobra,,Bashfest
IND | Kwiddo,,GingerV1k1ng
humanbomb,,Kobra
Bashfest,,GingerV1k1ng
humanbomb,,IND | Kwiddo
GingerV1k1ng,,Kobra
humanbomb,,GingerV1k1ng
IND | Kwiddo,,Bashfest
humanbomb,,Bashfest
IND | Kwiddo,,Kobra
LLL`MBR,,Quaka
Tekei,,Thwisteh
KIG Problem X,,Quaka
LLL`MBR,,Tekei
KIG Problem X,,Thwisteh
Quaka,,Tekei
KIG Problem X,,Tekei
LLL`MBR,,Thwisteh
KIG Problem X,,LLL`MBR
Quaka,,Thwisteh
Chinoooo,,Nake @Iran #32
CFC | João Jotão,,Maguro
RIZE|Infexious,,Nake @Iran #32
Chinoooo,,CFC | João Jotão
RIZE|Infexious,,Maguro
Nake @Iran #32,,CFC | João Jotão
RIZE|Infexious,,CFC | João Jotão
Chinoooo,,Maguro
RIZE|Infexious,,Chinoooo
Nake @Iran #32,,Maguro
Knix,,RiktigSFIVSpelare
194 Pedro,,Opostrophe
Pro Fluke,,RiktigSFIVSpelare
Knix,,Opostrophe
Pro Fluke,,194 Pedro
RiktigSFIVSpelare,,Opostrophe
Pro Fluke,,Opostrophe
Knix,,194 Pedro
Pro Fluke,,Knix
RiktigSFIVSpelare,,194 Pedro
Afi,,ettelman
JNS,,196 | Patrik
RZR Xian,,Afi
JNS,,ettelman
RZR Xian,,196 | Patrik
Afi,,JNS
RZR Xian,,JNS
ettelman,,196 | Patrik
RZR Xian,,ettelman
Afi,,196 | Patrik
RMZ,,FGDojo | Ninio
JuicyJoe,,Atrosh
BX3.Tp-Link Phenom,,FGDojo | Ninio
RMZ,,JuicyJoe
BX3.Tp-Link Phenom,,Atrosh
JuicyJoe,,FGDojo | Ninio
BX3.Tp-Link Phenom,,JuicyJoe
RMZ,,Atrosh
BX3.Tp-Link Phenom,,RMZ
Atrosh,,FGDojo | Ninio
Salty Kid,,Crosshatched
Moe,,Mr.MagicLove
BX3.Tp-Link veggey,,Crosshatched
Salty Kid,,Mr.MagicLove
BX3.Tp-Link veggey,,Moe
Mr.MagicLove,,Crosshatched
BX3.Tp-Link veggey,,Mr.MagicLove
Salty Kid,,Moe
BX3.Tp-Link veggey,,Salty Kid
Moe,,Crosshatched
FA|Ryan Hart,,Bobbis
IND | Ixion,,Gonzalez
RZR Xian,,Salty Kid
RMZ,,DaFeetLee
humanbomb,,Jojo
LLL`MBR,,GxC Damascus
Pro Fluke,,SFO Brylarke
FGCBR | Keoma,,Chinoooo
Melty.Cuongster,,Kreymore
