Player,Elo,Games,Wins,Loss,%,Attended,Tournaments
rzr|xian,1805,84,66,18,78,12,Final Round;Hypespotting;Stunfest;South East Asia Major;EVO;CPTA Shanghai;KO Fighting Game Festival;Ultra Hyakkishu Cup;Milan Games Week;Canada Cup;CPTA Finals;Dreamhack Winter
md|luffy,1796,78,65,13,83,11,Cannes Winter Clash;Hypespotting;Stunfest;FFM-Rumble;Dreamhack Summer;EVO;VS Fighting;EGX;Red Fight District;Milan Games Week;Dreamhack Winter
r/kappa|infilitration,1792,92,74,18,80,13,Cannes Winter Clash;Nine States;Final Round;NorCal Regionals;CPTA KR;Texas Showdown;Stunfest;South East Asia Major;CEO;EVO;HK;First Attack;Tokyo Game Show
eg|momochi,1776,70,53,17,75,9,Final Round;NorCal Regionals;Stunfest;South East Asia Major;CEO;EVO;SCR;Ultra Hyakkishu Cup;Canada Cup
rzr|fuudo,1759,96,67,29,69,15,Final Round;NorCal Regionals;CPTA KR;Stunfest;South East Asia Major;CEO;EVO;CPTA Shanghai;Tokyo Game Show;KO Fighting Game Festival;Ze Fighting Game Champion;SCR;Ultra Hyakkishu Cup;Milan Games Week;Canada Cup
r/kappa|poongko,1754,70,52,18,74,11,Cannes Winter Clash;Nine States;NorCal Regionals;CPTA KR;Stunfest;FFM-Rumble;South East Asia Major;EVO;Tokyo Game Show;Ultra Hyakkishu Cup;CPTA Finals
be|nemo,1753,45,34,11,75,5,KSB 2015;EVO;Tokyo Game Show;Ultra Hyakkishu Cup;CPTA Finals
rb|bonchan,1752,103,73,30,70,15,Final Round;NorCal Regionals;CPTA KR;KSB 2015;Stunfest;FFM-Rumble;South East Asia Major;CEO;EVO;FV Cup;Tokyo Game Show;SCR;Ultra Hyakkishu Cup;Canada Cup;CPTA Finals
r/kappa|zv|kazunoko,1752,76,57,19,75,11,Final Round;NorCal Regionals;CPTA KR;KSB 2015;Stunfest;South East Asia Major;CEO;EVO;Tokyo Game Show;SCR;Canada Cup
mcz|daigo,1751,45,34,11,75,7,Final Round;NorCal Regionals;Stunfest;South East Asia Major;CEO;EVO;Tokyo Game Show
rb|snake eyez,1750,104,76,28,73,13,Final Round;NorCal Regionals;Texas Showdown;CEO;EVO;CPTA Shanghai;Summer Jam;First Attack;TFC;Tokyo Game Show;SCR;Defend the North;Canada Cup
avm|gamerbee,1741,62,45,17,72,9,Final Round;NorCal Regionals;Stunfest;Dreamhack Summer;South East Asia Major;CEO;EVO;Tokyo Game Show;Canada Cup
mcz|tokido,1728,72,49,23,68,12,Final Round;Hypespotting;CPTA KR;KSB 2015;Stunfest;FFM-Rumble;South East Asia Major;CEO;EVO;CPTA Shanghai;Tokyo Game Show;Canada Cup
liquid|nuckledu,1720,73,51,22,69,11,Final Round;NorCal Regionals;Texas Showdown;Combo Breaker;CEO;EVO;Summer Jam;First Attack;TFC;SCR;Defend the North
qanba douyu|xiaohai,1713,78,54,24,69,11,Cannes Winter Clash;Final Round;South East Asia Major;CEO;EVO;CPTA Shanghai;HK;Saigon Cup;Ze Fighting Game Champion;SCR;CPTA Finals
eg|justin wong,1710,58,40,18,68,11,Final Round;NorCal Regionals;Northwest Majors;Texas Showdown;Combo Breaker;CEO;EVO;TFC;SCR;Defend the North;Canada Cup
tsc|yomi|dieminion,1702,54,37,17,68,9,Cannes Winter Clash;Final Round;CEO;EVO;Summer Jam;TFC;SCR;Defend the North;Canada Cup
kig|problem x,1702,74,54,20,72,10,Cannes Winter Clash;Hypespotting;Dreamhack Summer;VS Fighting;Summer Jam;EGX;Call of Ragnarok;Red Fight District;Defend the North;Dreamhack Winter
eg|ricki ortiz,1700,61,40,21,65,10,Final Round;NorCal Regionals;Northwest Majors;Texas Showdown;Combo Breaker;CEO;EVO;Summer Jam;TFC;Canada Cup
rzr|itabashi zangief,1699,88,60,28,68,15,Nine States;Final Round;CPTA KR;KSB 2015;South East Asia Major;EVO;FV Cup;Taiwan;Manila Cup;Saigon Cup;Tokyo Game Show;KO Fighting Game Festival;Ze Fighting Game Champion;True Challengers Costa Rica;Canada Cup
gl|rb|valmaster,1698,37,24,13,64,7,Cannes Winter Clash;Stunfest;FFM-Rumble;EVO;EGX;Red Fight District;Milan Games Week
mcz|mago,1696,48,34,14,70,9,Final Round;Hypespotting;Stunfest;South East Asia Major;CEO;EVO;Tokyo Game Show;SCR;Canada Cup
fa|ryan hart,1693,74,51,23,68,11,Cannes Winter Clash;Hypespotting;Stunfest;Dreamhack Summer;EVO;KO Fighting Game Festival;EGX;Red Fight District;Milan Games Week;Canada Cup;Dreamhack Winter
wfx|801 strider,1686,71,50,21,70,10,NorCal Regionals;Texas Showdown;CEO;EVO;Summer Jam;First Attack;TFC;SCR;True Challengers Costa Rica;Canada Cup
r/kappa|misse,1681,59,40,19,67,10,Nine States;KSB 2015;South East Asia Major;EVO;Taiwan;HK;Tokyo Game Show;Ultra Hyakkishu Cup;Canada Cup;CPTA Finals
fgcbr|keoma,1680,13,11,2,84,2,CPT Brazil;Dreamhack Winter
ccg|humanbomb,1679,75,51,24,68,12,Abuget Cup;CPTA KR;South East Asia Major;CPTA Shanghai;FV Cup;Taiwan;HK;Manila Cup;Saigon Cup;Tokyo Game Show;Ze Fighting Game Champion;Dreamhack Winter
reversal|chuchu,1678,4,2,2,50,1,CPT Brazil
inco,1675,30,22,8,73,6,Nine States;KSB 2015;EVO;Taiwan;Tokyo Game Show;Ultra Hyakkishu Cup
